page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,"Hindawi
Biochemistry Research International
Volume 2020, Article ID 9659412, 12 pages
https://doi.org/10.1155/2020/9659412","[97.0, 96.0, 376.0, 174.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header_image,,"[1048.0, 1.0, 1201.0, 28.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,2,header_image,,"[996.0, 97.0, 1105.0, 205.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,3,text,Review Article,"[98.0, 270.0, 308.0, 305.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,True
1,4,doc_title,Animal Models of Osteochondral Defect for Testing Biomaterials,"[97.0, 316.0, 1103.0, 354.0]",paper_title,0.8,"[""page-1 zone title_zone: Animal Models of Osteochondral Defect for Testing Biomateria""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Xiangbo Meng $ ^{ID} $ $ ^{1,2} $ Reihane Ziadlou, $ ^{3} $ Sibylle Grad, $ ^{3} $ Mauro Alini, $ ^{3} $ Chunyi Wen $ ^{ID} $ $ ^{4} $ Yuxiao Lai, $ ^{2} $ Ling Qin, $ ^{2,5} $ Yanyan Zhao $ ^{ID} $ $","[166.0, 417.0, 1032.0, 477.0]",authors,0.8,"[""page-1 zone author_zone: Xiangbo Meng $ ^{ID} $ $ ^{1,2} $ Reihane Ziadlou, $ ^{3} $ ""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,text," $ ^{1} $College of Pharmaceutical Sciences, Hebei University, Baoding, China","[168.0, 493.0, 689.0, 515.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $College of Pharmaceutical Sciences, Hebei University""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,7,text,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China","[169.0, 530.0, 852.0, 554.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Shenzhen Institutes of Advanced Technology, Chinese Academy ""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,8,text," $ ^{3} $AO Research Institute Davos, Clavadelerstrasse 8, 7270 Davos Platz, Switzerland","[170.0, 558.0, 775.0, 579.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{3} $AO Research Institute Davos, Clavadelerstrasse 8, 72""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,9,text," $ ^{4} $Department of Biomedical Engineering, Faculty of Engineering, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong SAR, China","[170.0, 580.0, 1076.0, 622.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{4} $Department of Biomedical Engineering, Faculty of Eng""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
