page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[174.0, 145.0, 275.0, 268.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,1,header,VISIÓN ELECTRÓNICA VOL. 14 NO. 1 (2020) ● JANUARY ● P.P. 6-18 ● ISSN 1909-9746 ● ISSN-E 2248-4728 ● Bogotá (Colombia),"[109.0, 94.0, 996.0, 114.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,header,"UNIVERSIDAD DISTRITAL
FRANCISCO JOSE DE CALDAS","[135.0, 272.0, 311.0, 309.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,3,header,"Vision Electrónica
Más que un estado sólido","[398.0, 157.0, 719.0, 224.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,4,header,https://doi.org/10.14483/issn.2248-4728,"[382.0, 241.0, 723.0, 263.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,5,image,,"[831.0, 147.0, 1044.0, 272.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,6,text,VISIÓN ELECTRÓNICA,"[820.0, 280.0, 1054.0, 308.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,True
1,7,text,A RESEARCH VISION,"[924.0, 338.0, 1107.0, 359.0]",authors,0.6,"[""page-1 initial-lastname author byline: A RESEARCH VISION""]",authors,0.6,frontmatter_main_zone,support_like,short_fragment,True,True
1,8,doc_title,The effect of frequency in the electrical stimulation of chondrocytes,"[225.0, 356.0, 1011.0, 412.0]",paper_title,0.6,"[""page-1 frontmatter title guard: The effect of frequency in the electrical stimulation of cho""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,9,text,El efecto de la frecuencia en la estimulación eléctrica de condrocitos,"[201.0, 413.0, 1047.0, 445.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,10,text,"Juan Jairo Vaca-González $ ^{ID1} $, Juan Felipe Escobar-Huertas $ ^{ID2} $, Diego Alexander Garzón-Alvarado $ ^{ID3} $","[110.0, 459.0, 1130.0, 486.0]",authors,0.8,"[""page-1 zone author_zone: Juan Jairo Vaca-Gonz\u00e1lez $ ^{ID1} $, Juan Felipe Escobar-Hue""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,11,paragraph_title,INFORMACIÓN DEL ARTÍCULO,"[111.0, 507.0, 380.0, 531.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: INFORMACI\u00d3N DEL ART\u00cdCULO""]",section_heading,0.5,body_zone,heading_like,none,True,True
1,12,text,"Historia del artículo:
Enviado: 03/04/2020
Recibido: 17/04/2020
Aceptado: 28/05/2020","[111.0, 544.0, 293.0, 638.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,13,text,"Keywords:
Cartilage Explants
Chondrocytes
Computational model
Electric Fields
Frequency Dependence
Scaffolds","[110.0, 666.0, 288.0, 828.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Keywords:\nCartilage Explants\nChondrocytes\nComputational mode""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,14,image,,"[114.0, 868.0, 270.0, 924.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
1,15,text,"Palabras clave:
Explantes de Cartílago
Condrocitos
Modelo Computacional
Campos Eléctricos
Dependencia de la Frecuencia
Andamios","[109.0, 964.0, 341.0, 1125.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,16,paragraph_title,ABSTRACT,"[442.0, 506.0, 543.0, 527.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,17,abstract,"Electrical stimulation is a non-invasive therapy used to stimulate chondrocyte dynamics: proliferation, migration, morphology and molecular synthesis. Some studies have evidenced the role of frequency","[439.0, 536.0, 1117.0, 916.0]",body_paragraph,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,18,paragraph_title,RESUMEN,"[442.0, 924.0, 534.0, 944.0]",unknown_structural,0.6,"[""author byline on page 1, assigned as authors: RESUMEN""]",authors,0.6,body_zone,heading_like,short_fragment,False,True
1,19,text,"La estimulación eléctrica es una terapia no invasiva utilizada para estimular la dinámica de los condrocitos: proliferación, migración, morfología y síntesis molecular. Algunos estudios han evidenciad","[438.0, 958.0, 1116.0, 1385.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
