page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,THEMED ARTICLE | Nanotechnology & Single-Cell Analysis,"[138.0, 93.0, 796.0, 125.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header,Review,"[1030.0, 92.0, 1128.0, 124.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,2,header_image,,"[140.0, 220.0, 318.0, 303.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,3,doc_title,Contributions and future perspectives on the use of magnetic nanoparticles as diagnostic and therapeutic tools in the field of regenerative medicine,"[373.0, 215.0, 1019.0, 595.0]",paper_title,0.8,"[""page-1 zone title_zone: Contributions and future perspectives on the use of magnetic""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,"Expert Rev. Mol. Diagn. 13(6), 553–566 (2013)","[375.0, 633.0, 726.0, 657.0]",structured_insert_candidate,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,False,False
1,5,text,"Vítor E Santo $ ^{1,2} $, Márcia T Rodrigues $ ^{1,2} $ and Manuela E Gomes $ ^{*1,2} $","[115.0, 692.0, 353.0, 771.0]",frontmatter_noise,0.7,"[""keyword-like block: V\u00edtor E Santo $ ^{1,2} $, M\u00e1rcia T Rodrigues $ ^{1,2} $ and ""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,6,text,"³B's Research Group – Biomaterials, Biodegradables and Biomimetics, University of Minho, AvePark, Zona Industrial da Gandra, S. Cláudio do Barco, 4806–909 Caldas das Taipas, Guimarães, Portugal  
²ICV","[115.0, 780.0, 352.0, 962.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: \u00b3B's Research Group \u2013 Biomaterials, Biodegradables and Biomi""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,7,abstract,"The current limitations of regenerative medicine strategies may be overcome through the use of magnetic nanoparticles (MNPs), a class of nanomaterial typically composed of magnetic elements that can b","[373.0, 691.0, 1144.0, 971.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,8,text,KEYWORDS: magnetic particles • magnetic responsive systems • regenerative medicine • stem cells • theranostics • tissue engineering,"[379.0, 987.0, 1121.0, 1028.0]",frontmatter_noise,0.7,"[""frontmatter noise text: KEYWORDS: magnetic particles \u2022 magnetic responsive systems \u2022""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,9,text,The goal of producing functional tissue substitutes using tissue engineering or other regenerative medicine strategies is challenged by the complexity of organ architectures  $ [1] $. Some of the most,"[374.0, 1040.0, 753.0, 1449.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,10,text,Nanoparticle research within regenerative medicine has been mainly focused on the development of delivery systems for biomolecules and reinforcing phase for polymeric matrices in 3D scaffolds for tiss,"[375.0, 1449.0, 753.0, 1497.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
