page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,doc_title,A Pulsing Electric Field (PEF) Increases Human Chondrocyte Proliferation through a Transduction Pathway Involving Nitric Oxide Signaling,"[66.0, 64.0, 1077.0, 139.0]",paper_title,0.8,"[""page-1 zone title_zone: A Pulsing Electric Field (PEF) Increases Human Chondrocyte P""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,1,text,"Robert J. Fitzsimmons, $ ^{1} $ Stephen L. Gordon, $ ^{2} $ James Kronberg, $ ^{2} $ Timothy Ganey, $ ^{3} $ Arthur A. Pilla $ ^{4} $","[67.0, 170.0, 833.0, 195.0]",frontmatter_noise,0.7,"[""keyword-like block: Robert J. Fitzsimmons, $ ^{1} $ Stephen L. Gordon, $ ^{2} $ ""]",frontmatter_noise,0.7,body_zone,reference_like,citation_line,False,False
1,2,text," $ ^{1} $The Technical Basis LLC, 24769 Redlands Blvd, Suite E, Loma Linda, California 92354,  $ ^{2} $Healthonics, Inc., Atlanta, Georgia,  $ ^{3} $Department of Orthopedic Surgery, Atlanta Medical C","[66.0, 207.0, 1079.0, 269.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $The Technical Basis LLC, 24769 Redlands Blvd, Suite ""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,3,text,Received 12 June 2007; accepted 18 October 2007,"[66.0, 278.0, 416.0, 298.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received 12 June 2007; accepted 18 October 2007""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,4,text,Published online 31 January 2008 in Wiley InterScience (www.interscience.wiley.com). DOI 10.1002/jor.20590,"[66.0, 298.0, 839.0, 318.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Published online 31 January 2008 in Wiley InterScience (www.""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,5,abstract,"ABSTRACT: A potential treatment modality for joint pain due to cartilage degradation is electromagnetic fields (EMF) that can be delivered, noninvasively, to chondrocytes buried within cartilage. A pu","[67.0, 333.0, 1080.0, 614.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,6,text,Keywords: pulsing electric field; chondrocytes; DNA content; nitric oxide; cGMP,"[67.0, 628.0, 686.0, 650.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Keywords: pulsing electric field; chondrocytes; DNA content;""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,7,text,"To provide patients with more treatment options for pain management, especially as the population ages, there is a growing need for new methods, drugs, and devices. $ ^{1} $ Joint pain due to injury, ","[66.0, 691.0, 558.0, 828.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,8,text,Cartilage tissue has limited capacity for repair following injury. Untreated defects in the cartilage layer of a joint heal poorly or do not heal at all. The tissue degradation that ensues leads inevi,"[65.0, 829.0, 559.0, 1034.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,9,text,"Noninvasive electromagnetic fields have been shown to reduce musculoskeletal pain and edema with no known side effects. $ ^{5} $ Recently, a capacitively coupled pulsing electric field (PEF) signal ha","[65.0, 1034.0, 559.0, 1309.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
