page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[70.0, 101.0, 139.0, 167.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,1,header,antioxidants,"[146.0, 114.0, 352.0, 155.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,2,header_image,,"[1030.0, 109.0, 1119.0, 168.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,3,text,Article,"[65.0, 208.0, 131.0, 231.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,doc_title,Microcurrent and Gold Nanoparticles Combined with Hyaluronic Acid Accelerates Wound Healing,"[65.0, 232.0, 959.0, 313.0]",paper_title,0.8,"[""page-1 zone title_zone: Microcurrent and Gold Nanoparticles Combined with Hyaluronic""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Carolini Mendes 1,2, Anand Thirupathi 1,*⊕, Rubya Pereira Zaccaron 2, Maria Eduardo Anastácio Borges Corrêa 2, João V. S. Bittencourt 2, Laura de Roch Casagrande 2, Anadhelly C. S. de Lima 2, Lara L. ","[64.0, 334.0, 1108.0, 437.0]",authors,0.8,"[""page-1 zone author_zone: Carolini Mendes 1,2, Anand Thirupathi 1,*\u2295, Rubya Pereira Za""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,text," $ ^{1} $ Faculty of Sports Science, Ningbo University, Ningbo 315211, China","[326.0, 478.0, 842.0, 501.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $ Faculty of Sports Science, Ningbo University, Ningb""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,7,text," $ ^{2} $ Laboratory of Experimental Phisiopatology, Program of Postgraduate in Science of Health, Universidade do Extremo Sul Catarinense, Cricúima 88806-000, Brazil","[326.0, 501.0, 1121.0, 543.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{2} $ Laboratory of Experimental Phisiopatology, Program ""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,8,text," $ ^{3} $ Graduate Program of Biomedical Science, Herminio Ometto Foundation, Araras 13607-339, Brazil","[327.0, 544.0, 1051.0, 566.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{3} $ Graduate Program of Biomedical Science, Herminio Om""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,9,image,,"[69.0, 733.0, 178.0, 770.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
