page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[67.0, 127.0, 262.0, 313.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,1,doc_title,In vitro effect of direct current electrical stimulation on rat mesenchymal stem cells,"[362.0, 124.0, 1123.0, 264.0]",paper_title,0.8,"[""page-1 zone title_zone: In vitro effect of direct current electrical stimulation on ""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,2,text,"Sahba Mobini $ ^{1,2,*} $, Liudmila Leppik $ ^{1,*} $, Vishnu Thottakkattumana Parameswaran $ ^{1} $ and John Howard Barker $ ^{1} $","[361.0, 293.0, 1159.0, 350.0]",authors,0.8,"[""page-1 zone author_zone: Sahba Mobini $ ^{1,2,*} $, Liudmila Leppik $ ^{1,*} $, Vishn""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text," $ ^{1} $ Frankfurt Initiative for Regenerative Medicine, Experimental Orthopedics and Trauma Surgery, Johann Wolfgang Goethe Universität Frankfurt am Main, Frankfurt am Main, Germany","[355.0, 361.0, 1119.0, 404.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $ Frankfurt Initiative for Regenerative Medicine, Exp""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,4,text," $ ^{2} $School of Materials, Faculty of Engineering and Physical Sciences, University of Manchester, Manchester, United Kingdom","[355.0, 406.0, 1126.0, 447.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{2} $School of Materials, Faculty of Engineering and Phys""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,5,text,These authors contributed equally to this work.,"[357.0, 449.0, 712.0, 472.0]",frontmatter_support,0.78,"[""first-surviving-page support text: These authors contributed equally to this work.""]",frontmatter_support,0.78,frontmatter_main_zone,support_like,none,True,True
1,6,paragraph_title,ABSTRACT,"[388.0, 510.0, 548.0, 539.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,7,text,"Submitted 12 July 2016
Accepted 22 November 2016
Published 12 January 2017","[65.0, 948.0, 295.0, 1014.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Submitted 12 July 2016\nAccepted 22 November 2016\nPublished 1""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,8,abstract,"Background. Electrical stimulation (ES) has been successfully used to treat bone defects clinically. Recently, both cellular and molecular approaches have demonstrated that ES can change cell behavior","[383.0, 555.0, 1148.0, 1036.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,9,text,cc Copyright 2017 Mobini et al.,"[67.0, 1284.0, 202.0, 1333.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: cc Copyright 2017 Mobini et al.""]",frontmatter_noise,0.8,body_zone,support_like,none,False,False
1,10,text,OPEN ACCESS,"[70.0, 1408.0, 209.0, 1432.0]",frontmatter_noise,0.7,"[""frontmatter noise text: OPEN ACCESS""]",frontmatter_noise,0.7,body_zone,body_like,short_fragment,False,False
1,11,text,"Distributed under
Creative Commons CC-BY 4.0","[64.0, 1346.0, 316.0, 1391.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Distributed under\nCreative Commons CC-BY 4.0""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,12,text,Additional Information and Declarations can be found on page 10,"[65.0, 1172.0, 306.0, 1238.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Additional Information and Declarations can be found on page""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,13,text,"Corresponding author
Sahba Mobini,
sahba.mobini@manchester.ac.uk,
sahba.mobini@gmail.com","[64.0, 1023.0, 315.0, 1111.0]",frontmatter_support,0.78,"[""first-surviving-page support text: Corresponding author\nSahba Mobini,\nsahba.mobini@manchester.a""]",frontmatter_support,0.78,frontmatter_main_zone,support_like,none,True,True
1,14,text,DOI 10.7717/peerj.2821,"[66.0, 1247.0, 249.0, 1271.0]",frontmatter_noise,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
1,15,text,"Academic editor
Jalees Rehman","[65.0, 1120.0, 203.0, 1165.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Academic editor\nJalees Rehman""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,16,text,"Subjects Bioengineering, Cell Biology, Orthopedics","[362.0, 1087.0, 788.0, 1112.0]",frontmatter_noise,0.7,"[""keyword-like block: Subjects Bioengineering, Cell Biology, Orthopedics""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
