page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[38.0, 36.0, 368.0, 196.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,1,header_image,,"[603.0, 1.0, 1188.0, 199.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,2,text,OPEN,"[157.0, 300.0, 243.0, 331.0]",authors,0.6,"[""page-1 initial-lastname author byline: OPEN""]",authors,0.6,frontmatter_main_zone,support_like,short_fragment,True,True
1,3,text,"SUBJECT AREAS:
BIONANOELECTRONICS
BIOLOGICAL MODELS","[68.0, 381.0, 244.0, 466.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,4,doc_title,Nanosecond Pulsed Electric Fields (nsPEFs) Regulate Phenotypes of Chondrocytes through Wnt/ $ \beta $-catenin Signaling Pathway,"[282.0, 283.0, 1048.0, 521.0]",paper_title,0.8,"[""page-1 zone title_zone: Nanosecond Pulsed Electric Fields (nsPEFs) Regulate Phenotyp""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,Received 12 December 2013,"[91.0, 503.0, 244.0, 550.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Received 12 December 2013""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,6,text,Accepted,"[164.0, 560.0, 244.0, 583.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Accepted""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,short_fragment,False,False
1,7,text,8 July 2014,"[147.0, 582.0, 243.0, 607.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,body_zone,reference_like,reference_numeric_dot,False,False
1,8,text,Published,"[150.0, 614.0, 244.0, 638.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Published""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,short_fragment,False,False
1,9,text,25 July 2014,"[137.0, 637.0, 244.0, 663.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,body_zone,reference_like,reference_numeric_dot,False,False
1,10,text,"Correspondence and requests for materials should be addressed to Z.G.G. (gez@pku.edu.cn) or J.Z. (zhangjue@pku.edu.cn)
Kun Zhang $ ^{1} $, Jinsong Guo $ ^{2} $, Zigang Ge $ ^{1,3,4} $ & Jue Zhang $ ^{","[81.0, 712.0, 246.0, 858.0]",frontmatter_support,0.78,"[""first-surviving-page support text: Correspondence and requests for materials should be addresse""]",frontmatter_support,0.78,frontmatter_main_zone,support_like,none,True,True
