page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[70.0, 100.0, 139.0, 168.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,1,header,biomedicines,"[147.0, 113.0, 397.0, 159.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,2,header_image,,"[1029.0, 108.0, 1119.0, 167.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,3,text,Review,"[66.0, 207.0, 134.0, 231.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,doc_title,"The Role of Mitochondrial Metabolism, AMPK-SIRT Mediated Pathway, LncRNA and MicroRNA in Osteoarthritis","[65.0, 232.0, 1112.0, 311.0]",paper_title,0.8,"[""page-1 zone title_zone: The Role of Mitochondrial Metabolism, AMPK-SIRT Mediated Pat""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Hao-Yu Liu  $ ^{1,2,3,4,\dagger} $, Chi-Fen Chang  $ ^{5,\dagger} $, Cheng-Chang Lu  $ ^{1,2,3,4,6,\dagger} $, Shun-Cheng Wu  $ ^{1,3} $, Bin Huang  $ ^{7} $, Tsung-Lin Cheng  $ ^{1,3,8} $, Sung-Yen L","[65.0, 333.0, 1098.0, 437.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,6,paragraph_title,check for updates,"[69.0, 781.0, 179.0, 818.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: check for updates""]",section_heading,0.5,body_zone,unknown_like,short_fragment,True,True
1,7,text,"Citation: Liu, H.-Y.; Chang, C.-F.; Lu, C.-C.; Wu, S.-C.; Huang, B.; Cheng, T.-L.; Lin, S.-Y.; Ho, C.-J.; Lee, M.-J.; Yang, C.-D.; et al. The Role of Mitochondrial Metabolism, AMPK-SIRT Mediated Pathw","[65.0, 825.0, 301.0, 1062.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Citation: Liu, H.-Y.; Chang, C.-F.; Lu, C.-C.; Wu, S.-C.; Hu""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,8,text,Academic Editor: Wataru Ariyoshi,"[68.0, 1076.0, 290.0, 1097.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Academic Editor: Wataru Ariyoshi""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,9,text,"Received: 4 April 2022
Accepted: 17 June 2022
Published: 22 June 2022","[67.0, 1114.0, 223.0, 1183.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: 4 April 2022\nAccepted: 17 June 2022\nPublished: 22 ""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,10,text,Publisher's Note: MDPI stays neutral with regard to jurisdictional claims in published maps and institutional affiliations.,"[66.0, 1197.0, 308.0, 1290.0]",frontmatter_noise,0.88,"[""default body_paragraph for text label"", ""late role resolution: editorial phrase cross-validates non-body classification"", ""zone=body_zone"", ""style_family=support_like""]",body_paragraph,0.6,body_zone,support_like,none,False,False
1,11,image,,"[69.0, 1313.0, 185.0, 1354.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
1,12,text,"Copyright: © 2022 by the authors.
Licensee MDPI, Basel, Switzerland.
This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) licen","[66.0, 1363.0, 309.0, 1551.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Copyright: \u00a9 2022 by the authors.\nLicensee MDPI, Basel, Swit""]",frontmatter_noise,0.8,body_zone,support_like,none,False,False
1,13,text,"1 Orthopaedic Research Center, College of Medicine, Kaohsiung Medical University, Kaohsiung 80708, Taiwan;
artherb02@gmail.com (H.-Y.L.); cclu0880330@gmail.com (C.-C.L.); shunchengwu@hotmail.com (S.-C","[326.0, 479.0, 1123.0, 566.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: 1 Orthopaedic Research Center, College of Medicine, Kaohsiun""]",affiliation,0.8,body_zone,reference_like,reference_numeric_dot,True,True
1,14,text,"2 Department of Orthopedics, Kaohsiung Medical University Hospital, Kaohsiung Medical University, Kaohsiung 80708, Taiwan; ycwang.ow@gmail.com","[326.0, 565.0, 1075.0, 608.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: 2 Department of Orthopedics, Kaohsiung Medical University Ho""]",affiliation,0.8,body_zone,reference_like,reference_numeric_dot,True,True
1,15,text,"3 Regeneration Medicine and Cell Therapy Research Center, Kaohsiung Medical University, Kaohsiung 80708, Taiwan","[327.0, 608.0, 999.0, 651.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: 3 Regeneration Medicine and Cell Therapy Research Center, Ka""]",affiliation,0.8,body_zone,reference_like,reference_numeric_dot,True,True
1,16,text,"4 Department of Orthopedics, College of Medicine, Kaohsiung Medical University, Kaohsiung 80708, Taiwan  
5 Department of Anatomy, School of Medicine, China Medical University, Taichung 40402, Taiwan;","[327.0, 652.0, 1117.0, 715.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: 4 Department of Orthopedics, College of Medicine, Kaohsiung ""]",affiliation,0.8,body_zone,reference_like,reference_numeric_dot,True,True
1,17,text,"Department of Orthopedics, Kaohsiung Municipal Siaogang Hospital, Kaohsiung 812, Ta 7
Department of Biomedical Science and Environmental Biology, College of Life Science, Kaohsiung Medical University,","[325.0, 719.0, 981.0, 781.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Department of Orthopedics, Kaohsiung Municipal Siaogang Hosp""]",affiliation,0.8,body_zone,body_like,none,True,True
1,18,text,"8 Lef
9 Graduate
Kaohsiung 80706,","[327.0, 785.0, 1108.0, 844.0]",section_heading,0.65,"[""numbered text block: 8 Lef\n9 Graduate\nKaohsiung 80706,""]",section_heading,0.65,body_zone,reference_like,reference_numeric_dot,True,True
1,19,text," $ ^{10} $ Department of Bioscience Technology, Chang Jung Christian University, Tainan 71101, Taiwan; mjlee@mail.cjcu.edu.tw","[327.0, 846.0, 1034.0, 890.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{10} $ Department of Bioscience Technology, Chang Jung Ch""]",affiliation,0.8,body_zone,body_like,affiliation_marker,True,True
1,20,text," $ ^{11} $ Innovative Research Center of Medicine, Chang Jung Christian University, Iainan 71101, Taiwan","[328.0, 888.0, 1044.0, 911.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{11} $ Innovative Research Center of Medicine, Chang Jung""]",affiliation,0.8,body_zone,body_like,affiliation_marker,True,True
1,21,text," $ ^{12} $ Graduate Institute of Animal Vaccine Technology, College of Veterinary Medicine, National Pingtung University of Science and Technology, Pingtung 912301, Taiwan; cdyang@mail.npust.edu.tw","[325.0, 909.0, 972.0, 970.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{12} $ Graduate Institute of Animal Vaccine Technology, C""]",affiliation,0.8,body_zone,body_like,affiliation_marker,True,True
1,22,text,"Ph.D. Program in Biomedical Engineering, College of Medicine, Kaohsiung Medical University, Kaohsiung 80708, Taiwan","[327.0, 974.0, 1036.0, 1016.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Ph.D. Program in Biomedical Engineering, College of Medicine""]",affiliation,0.8,body_zone,body_like,none,True,True
1,23,text," $ ^{14} $ Department of Orthopedics, Kaohsiung Municipal Ta-Tung Hospital, Kaohsiung 80145, Taiwan","[327.0, 1017.0, 1038.0, 1040.0]",frontmatter_noise,0.85,"[""affiliation block: $ ^{14} $ Department of Orthopedics, Kaohsiung Municipal Ta-""]",frontmatter_noise,0.85,body_zone,body_like,affiliation_marker,False,False
1,24,text," $ ^{15} $ Department of Healthcare Administration and Medical Informatics, Kaohsiung Medical University, Kaohsiung 80708, Taiwan","[327.0, 1039.0, 1065.0, 1081.0]",frontmatter_noise,0.85,"[""affiliation block: $ ^{15} $ Department of Healthcare Administration and Medica""]",frontmatter_noise,0.85,body_zone,body_like,affiliation_marker,False,False
1,25,text,"16 Department of Obstetrics and Gynecology, National Cheng Kung University Hospital, College of Medicine, National Cheng Kung University, Tainan 701, Taiwan","[327.0, 1082.0, 1119.0, 1129.0]",frontmatter_noise,0.7,"[""keyword-like block: 16 Department of Obstetrics and Gynecology, National Cheng K""]",frontmatter_noise,0.7,body_zone,reference_like,reference_numeric_dot,False,False
1,26,text," $ ^{17} $ Institute of Medical Science and Technology, National Sun Yat-Sen University, Kaohsiung 80420, Taiwan  
 $ ^{18} $ Graduate Institute of Materials Engineering, College of Engineering, Natio","[327.0, 1129.0, 1120.0, 1190.0]",frontmatter_noise,0.85,"[""affiliation block: $ ^{17} $ Institute of Medical Science and Technology, Natio""]",frontmatter_noise,0.85,body_zone,body_like,affiliation_marker,False,False
1,27,text,Correspondence: cwwei@gap.kmu.edu.tw (C.-W.W.); kanglin@mail.ncku.edu.tw (L.K.); hwan@kmu.edu.tw (C.-H.C.); Tel.: +886-7-3121101 (ext. 2648#19) (C.-W.W.); +886-6-2766685 (L.K.); +886-7-3209209 (C.-H.C,"[325.0, 1192.0, 1057.0, 1254.0]",frontmatter_support,0.75,"[""page-1 correspondence support: Correspondence: cwwei@gap.kmu.edu.tw (C.-W.W.); kanglin@mail""]",frontmatter_support,0.75,body_zone,body_like,none,True,True
1,28,text,† These authors contributed equally to this work.,"[329.0, 1256.0, 699.0, 1278.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: \u2020 These authors contributed equally to this work.""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,29,abstract,"Abstract: Osteoarthritis (OA) is the most common joint disease characterized by degeneration of articular cartilage and causes severe joint pain, physical disability, and impaired quality of life. Rec","[324.0, 1305.0, 1125.0, 1539.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,30,footer,"Biomedicines 2022, 10, 1477. https://doi.org/10.3390/biomedicines10071477","[67.0, 1625.0, 606.0, 1647.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,31,footer,https://www.mdpi.com/journal/biomedicines,"[777.0, 1625.0, 1122.0, 1648.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
2,0,header,"Biomedicines 2022, 10, 1477","[68.0, 111.0, 258.0, 132.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,none,False,False
2,1,number,2 of 25,"[1068.0, 111.0, 1121.0, 131.0]",noise,0.9,"[""page number label""]",noise,0.9,frontmatter_main_zone,reference_like,reference_numeric_dot,False,False
2,2,abstract,"In this review, we first focus on the importance of mitochondria metabolic dysregulation related to OA. Then, we show recent evidence on the AMPK-SIRT mediated pathway associated with OA pathogenesis ","[327.0, 193.0, 1123.0, 297.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
2,3,text,Keywords: osteoarthritis; mitochondria; AMP-activated protein kinase (AMPK); sirtuins (SIRT); long non-coding RNA (lncRNA); microRNA (miRNA),"[327.0, 320.0, 1122.0, 370.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,4,paragraph_title,1. Introduction,"[328.0, 447.0, 473.0, 469.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,frontmatter_side_zone,heading_like,heading_numbered,True,True
2,5,text,"Osteoarthritis (OA) is a degenerative and debilitating joint disease associated with the symptoms and signs of joint pain, swelling, stiffness, mobility limitation, and joint deformity [1]. According ","[324.0, 476.0, 1125.0, 929.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,6,text,"Mitochondria are double-membrane organelles that convert organic molecules (e.g., glucose, amino acids, and fatty acids) into adenosine triphosphate (ATP) via the electron transport chain (ETC) and ox","[325.0, 929.0, 1126.0, 1306.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,7,text,"In addition, recent studies have shown that the AMP-activated protein kinase (AMPK) and sirtuin (SIRT) pathways are important for signal transduction to regulate mitochondrial physiological function. ","[325.0, 1306.0, 1125.0, 1558.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,0,header,"Biomedicines 2022, 10, 1477","[67.0, 111.0, 259.0, 131.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
3,1,number,3 of 25,"[1069.0, 111.0, 1121.0, 131.0]",noise,0.9,"[""page number label""]",noise,0.9,,reference_like,reference_numeric_dot,False,False
3,2,text,"Therefore, in this review, we first discuss how mitochondrial metabolism dysfunction can lead to OA pathogenesis. Then, we unravel the AMPK-SIRT pathway, lncRNA, and microRNA in association with OA pa","[324.0, 192.0, 1125.0, 269.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,3,paragraph_title,2. Mitochondrial Metabolism Dysfunction to OA Pathogenesis,"[326.0, 288.0, 909.0, 311.0]",section_heading,0.85,"[""paragraph_title label with numbering: 2. Mitochondrial Metabolism Dysfunction to OA Pathogenesis""]",section_heading,0.85,body_zone,reference_like,reference_numeric_dot,True,True
3,4,text,Mitochondria are known to be dynamic and complex organelles responsible for numerous physiological processes in chondrocytes related to energy production and cell growth and proliferation. Recent stud,"[324.0, 319.0, 1127.0, 698.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,5,image,,"[334.0, 723.0, 1086.0, 1140.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
3,6,figure_title,Figure 1. The diagram shows the AMPK–SIRT signaling pathways related to OA pathogenesis and the potential treatment options for OA targeting at mitochondrial pathways. The outer circle is the cell mem,"[324.0, 1161.0, 1124.0, 1494.0]",figure_caption,0.92,"[""figure_title label: Figure 1. The diagram shows the AMPK\u2013SIRT signaling pathways""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
3,7,text,"In addition to AMPK-SIRT regulation, recent studies have yielded evidence on the interaction between lncRNA and miRNA in relation to OA pathogenesis. LncRNA, which","[327.0, 1511.0, 1123.0, 1561.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,0,header,"Biomedicines 2022, 10, 1477","[67.0, 111.0, 259.0, 132.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
4,1,number,4 of 25,"[1069.0, 111.0, 1121.0, 131.0]",noise,0.9,"[""page number label""]",noise,0.9,,reference_like,reference_numeric_dot,False,False
4,2,text,"binds to miRNAs to inhibit their combining with downstream genes, is crucial for metabolic reactions and homeostasis of articular chondrocytes [27]. Together with miRNA, it focuses on promoting or inh","[324.0, 192.0, 1125.0, 395.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,3,paragraph_title,2.1. Mitochondrial Respiratory Chain (MRC) in Osteoarthritis,"[327.0, 412.0, 846.0, 436.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.1. Mitochondrial Respiratory Chain (MRC) in Osteoarthritis""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
4,4,text,"The mitochondrial membrane potential is generated by proton pumps (Complexes I, III, and IV), which are located on the inner membrane and generate transmembrane potential energy in the form of hydroge","[324.0, 443.0, 1125.0, 669.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,5,text,"However, in OA cartilage, due to degradation (thinning, micro-cracks, and even disappearance), chondrocytes in the deep zone receive more oxygen stimulation. In a relatively high oxygen concentration ","[324.0, 669.0, 1126.0, 1022.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,6,text,"Currently, the standard evaluation of mitochondrial function is the analysis of respiratory chain enzyme complexes, citrate synthase (CS), and changes in mitochondrial membrane potential ( $ \Delta\Ps","[323.0, 1022.0, 1125.0, 1322.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,7,text,"Recent studies have reported that mitochondria are critical mechanotransducers, which connect the extracellular mechanical signals with intracellular signaling pathways  $ [43,44] $. Bartell et al. re","[326.0, 1323.0, 1125.0, 1526.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,0,header,"Biomedicines 2022, 10, 1477","[67.0, 111.0, 259.0, 132.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
5,1,number,5 of 25,"[1069.0, 111.0, 1121.0, 131.0]",noise,0.9,"[""page number label""]",noise,0.9,,reference_like,reference_numeric_dot,False,False
5,2,paragraph_title,2.2. Reactive Oxygen Species (ROS) in Osteoarthritis,"[327.0, 192.0, 772.0, 217.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.2. Reactive Oxygen Species (ROS) in Osteoarthritis""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
5,3,text,"ROS are free radicals formed by the normal cellular metabolism of oxygen. The main ROS produced by chondrocytes are nitric oxide (NO), superoxide anion ( $ O^{2-} $), and their derivative radicals, in","[324.0, 223.0, 1124.0, 598.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,4,text,"On the other hand, the non-mitochondrial pathway mainly refers to nicotinamide adenine dinucleotide phosphate (NADPH) oxidase. Some studies showed that in pathological conditions, including mechanical","[326.0, 599.0, 1124.0, 826.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,5,text,"Oxidative stress damage may contribute to chronic and persistent mitochondrial dysfunction because overproduction of ROS impairs mitochondrial respiration, which further increases ROS production, thus","[326.0, 826.0, 1125.0, 1127.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,6,text,"On the other hand, antioxidant systems balance the production and elimination of ROS. These systems, the first line of defense, consist of enzymatic and non-enzymatic antioxidants, including glutathio","[326.0, 1128.0, 1125.0, 1504.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,7,text,"The contents in Table 1 represent the mechanism and biological functions of traditionally potential drugs in OA. The metabolic effects of these drugs include reduction in ROS,","[327.0, 1503.0, 1126.0, 1555.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
6,0,header,"Biomedicines 2022, 10, 1477","[67.0, 110.0, 259.0, 132.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
6,1,number,6 of 25,"[1069.0, 111.0, 1121.0, 131.0]",noise,0.9,"[""page number label""]",noise,0.9,,reference_like,reference_numeric_dot,False,False
6,2,text,"inhibition of ECM degradation, reduced inflammatory responses, and apoptosis inhibition. On the other hand, the contents in Table 2 represent the classification and biological functions of polyphenol,","[325.0, 192.0, 1125.0, 366.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
6,3,text,"Some research into drugs that target ROS production is shown in Tables 1 and 2. Hosseinzadeh, A. et al. reported that diallyl disulfide (DADS), which has antioxidant and anti-inflammatory properties, ","[324.0, 367.0, 1126.0, 721.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
