page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,"TISSUE ENGINEERING: Part B
Volume 21, Number 3, 2015
© Mary Ann Liebert, Inc.
DOI: 10.1089/ten.teb.2014.0419","[114.0, 66.0, 352.0, 142.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,doc_title,Endochondral Ossification for Enhancing Bone Regeneration: Converging Native Extracellular Matrix Biomaterials and Developmental Engineering In Vivo,"[116.0, 208.0, 1101.0, 331.0]",paper_title,0.8,"[""page-1 zone title_zone: Endochondral Ossification for Enhancing Bone Regeneration: C""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,2,text,"S. Connor Dennis, BS, $ ^{1,2} $ Cory J. Berkland, PhD, $ ^{1-3} $ Lynda F. Bonewald, PhD, $ ^{4} $ and Michael S. Detamore, PhD $ ^{1,2} $","[334.0, 382.0, 883.0, 436.0]",authors,0.8,"[""page-1 zone author_zone: S. Connor Dennis, BS, $ ^{1,2} $ Cory J. Berkland, PhD, $ ^{""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,abstract,"Autologous bone grafting (ABG) remains entrenched as the gold standard of treatment in bone regenerative surgery. Consequently, many marginally successful bone tissue engineering strategies have focus","[112.0, 515.0, 1106.0, 1072.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,4,paragraph_title,Introduction,"[114.0, 1123.0, 229.0, 1145.0]",section_heading,0.9,"[""explicit scholarly heading: Introduction""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,5,text,THE HUMAN BODY HAS AN EXTENSIVE capacity to regenerate bone tissue after trauma. Disruption of the surrounding vasculature and bone marrow resulting from a bone fracture initially facilitates a cascad,"[111.0, 1166.0, 601.0, 1367.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,6,text,,"[613.0, 1122.0, 1105.0, 1319.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,7,text,"Clinically, however, ABG remains the gold standard of treatment due to its inherent osteoconductivity, osteoinductivity,","[615.0, 1320.0, 1106.0, 1366.0]",frontmatter_noise,0.7,"[""keyword-like block: Clinically, however, ABG remains the gold standard of treatm""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,8,footnote," $ ^{1} $Bioengineering Program, University of Kansas, Lawrence, Kansas.","[131.0, 1400.0, 629.0, 1423.0]",footnote,0.7,"[""footnote label: $ ^{1} $Bioengineering Program, University of Kansas, Lawren""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
1,9,footnote,"²Chemical and Petroleum Engineering Department, University of Kansas, Lawrence, Kansas.","[133.0, 1420.0, 810.0, 1439.0]",footnote,0.7,"[""footnote label: \u00b2Chemical and Petroleum Engineering Department, University o""]",footnote,0.7,body_zone,body_like,none,True,True
1,10,footnote," $ ^{3} $Pharmaceutical Chemistry Department, University of Kansas, Lawrence, Kansas.","[133.0, 1439.0, 732.0, 1458.0]",footnote,0.7,"[""footnote label: $ ^{3} $Pharmaceutical Chemistry Department, University of K""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
1,11,footnote," $ ^{4} $Department of Oral Biology, University of Missouri-Kansas City, Kansas City, Missouri.","[133.0, 1456.0, 789.0, 1477.0]",footnote,0.7,"[""footnote label: $ ^{4} $Department of Oral Biology, University of Missouri-K""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
1,12,number,247,"[592.0, 1500.0, 627.0, 1520.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,0,number,248,"[120.0, 69.0, 157.0, 88.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,1,header,DENNIS ET AL.,"[970.0, 68.0, 1105.0, 89.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,2,text,"FIG. 1. Both IM and EC ossification occurs during the bone-healing process in three overlapping regeneration phases. Critical-sized bone defects favor EC ossification over direct IM ossification, prim","[118.0, 135.0, 364.0, 640.0]",body_paragraph,0.9,"[""figure caption candidate (body narrative): FIG. 1. Both IM and EC ossification occurs during the bone-h""]",figure_caption_candidate,0.9,display_zone,legend_like,figure_number,True,True
2,3,paragraph_title,Phase I: Inflammatory 1. Hematoma Week (0-1),"[379.0, 118.0, 575.0, 179.0]",unknown_structural,0.6,"[""page-1 frontmatter title guard: Phase I: Inflammatory 1. Hematoma Week (0-1)""]",paper_title,0.6,body_zone,unknown_like,none,False,True
2,4,text,Damaged vasculature and marrow facilitate hematoma formation along with influx of inflammatory cells and BMSCs. Initial progenitor cells likely fail to survive early inflammatory phase. IM and EC ossi,"[394.0, 186.0, 553.0, 292.0]",non_body_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,unknown_like,none,False,False
2,5,text,,"[586.0, 186.0, 741.0, 305.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,unknown_like,empty,True,True
2,6,text,,"[762.0, 186.0, 916.0, 305.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,unknown_like,empty,True,True
2,7,text,"Phase III: Remodeling
3. Remodeled Bone
Week ( $ \geq $ 8)","[915.0, 118.0, 1106.0, 180.0]",non_body_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,unknown_like,none,False,False
2,8,text,Resorption of excess callus and replacement of woven bone with stronger lamellar bone. Dictated often by external mechanical load conditions and results in restoring healthy bone architecture.,"[931.0, 185.0, 1089.0, 305.0]",non_body_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,unknown_like,none,False,False
2,9,image,,"[398.0, 306.0, 1091.0, 645.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
2,10,text,"and thus osteogenic capabilities. $ ^{6,12-14} $ Despite these advantages, ABG has key clinical limitations, including donor site morbidity and pain, increased risk of infection, limited handling capa","[118.0, 706.0, 606.0, 1060.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,11,text,"To date, acellular biomaterial-based products have dominated the alternative bone implant market at the commercial level. $ ^{11,15,16} $ A major characteristic of these products is the ability to mim","[117.0, 1060.0, 606.0, 1388.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,12,text,"Addressing this avenue of research is the emerging paradigm of “developmental engineering” first introduced in 2009 in two reviews by Lenas et al., $ ^{22,23} $ which offer an innovative approach to e","[117.0, 1389.0, 608.0, 1479.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,13,text,,"[618.0, 706.0, 1109.0, 1104.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
2,14,text,"The incorporation of donor cells via SCBT strategies may provide advantageous osteo- and chondrogenic capabilities to acellular bone implants, which rely solely on recruited cells from the peripheral ","[619.0, 1103.0, 1109.0, 1479.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,0,header,ENDOCHONDRAL OSSIFICATION WITH NATIVE ECM AND DEVELOPMENTAL ENGINEERING,"[115.0, 67.0, 922.0, 90.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
3,1,number,249,"[1067.0, 69.0, 1103.0, 88.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
3,2,text,"in vitro cell expansion. Critical-sized bone defects often require surgical intervention within hours as opposed to weeks, because delayed bone healing leads to a higher risk of nonunion. $ ^{9} $ The","[111.0, 117.0, 602.0, 446.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,3,text,"An alternative strategy to reduce or remove the cell expansion step may reside in extending developmental engineering principles to in vivo designs (i.e., within the graft or implant), thus removing i","[111.0, 447.0, 602.0, 752.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,4,text,This review will highlight essential design criteria involved in the underexplored regenerative area of developmentally engineering bone in vivo (Fig. 2). Traditional strategies have approached tissue,"[112.0, 753.0, 602.0, 843.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,5,text,,"[614.0, 116.0, 1105.0, 492.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
3,6,paragraph_title,Overview of the Natural Bone-Healing Process,"[616.0, 522.0, 1026.0, 544.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Overview of the Natural Bone-Healing Process""]",subsection_heading,0.6,body_zone,body_like,none,True,True
3,7,text,"As mentioned earlier, the human body has an extensive capacity to regenerate bone tissue after trauma and fracture. The cellular and molecular processes involved in developmental skeletogenesis are cl","[614.0, 555.0, 1105.0, 753.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,8,text,"In general, the fracture-healing process is most often described in three overlapping phases: Inflammatory, Reparative, and Remodeling (Fig. 1), where each phase represents a complex spatiotemporal di","[614.0, 753.0, 1105.0, 843.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,9,image,,"[183.0, 881.0, 1036.0, 1333.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
3,10,figure_title,FIG. 2. Current landscape of EC ossification strategies (blue boxes) along with underexplored design space (dashed outlines) highlighted in this review. Some combined cell and material strategies are ,"[113.0, 1354.0, 1105.0, 1478.0]",figure_caption,0.92,"[""figure_title label: FIG. 2. Current landscape of EC ossification strategies (blu""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
4,0,number,250,"[120.0, 68.0, 158.0, 88.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
4,1,header,DENNIS ET AL.,"[969.0, 67.0, 1106.0, 89.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
4,2,text,"and bioactive signals. $ ^{1-9} $ Initially, disrupted vasculature and bone marrow during the inflammatory phase facilitates a coagulation cascade along with an influx of progenitor cells, including b","[117.0, 114.0, 606.0, 621.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,3,text,"In contrast, chondrogenesis predominantly occurs in avascular environments where oxygen tension is low. $ ^{39-43} $ The main consequence of this difference is that IM and EC ossification is manifeste","[117.0, 621.0, 606.0, 950.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,4,text,"While the process mentioned earlier describes successful bone regeneration within the body, it is well understood that large defects above a “critical-size” are incapable of completely restoring nativ","[117.0, 950.0, 606.0, 1239.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,5,paragraph_title,Strategies to Enhance EC Ossification Harnessing the potential of developmental engineering,"[118.0, 1255.0, 560.0, 1313.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Strategies to Enhance EC Ossification Harnessing the potenti""]",subsection_heading,0.6,body_zone,body_like,none,True,True
4,6,footer,,"[119.0, 1288.0, 560.0, 1313.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,empty,False,False
4,7,text,"Developmental engineering, a term first introduced into the tissue engineering community with two reviews in 2009 by Lenas et al., $ ^{22,23} $ involves the engineering of developmental “processes” an","[116.0, 1321.0, 606.0, 1480.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,8,text,,"[619.0, 116.0, 1108.0, 163.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
4,9,text,(1) Path dependence: successive developmental tissue relies on previous tissue formation,"[640.0, 170.0, 1108.0, 215.0]",body_paragraph,0.78,"[""default body_paragraph for text label"", ""late role resolution: non-body family 'reference_like' overrides body_paragraph"", ""style_family_authority=reference_marker"", ""context_source=block""]",body_paragraph,0.6,,reference_like,reference_numeric_parenthesis,True,True
4,10,text,(2) Robustness: tissue developmental process resistant to unintended external perturbation,"[639.0, 216.0, 1108.0, 259.0]",body_paragraph,0.78,"[""default body_paragraph for text label"", ""late role resolution: non-body family 'reference_like' overrides body_paragraph"", ""style_family_authority=reference_marker"", ""context_source=block""]",body_paragraph,0.6,,reference_like,reference_numeric_parenthesis,True,True
4,11,text,(3) Semi-autonomy: partially self-governed tissue development,"[640.0, 260.0, 1106.0, 305.0]",body_paragraph,0.78,"[""default body_paragraph for text label"", ""late role resolution: non-body family 'reference_like' overrides body_paragraph"", ""style_family_authority=reference_marker"", ""context_source=block""]",body_paragraph,0.6,,reference_like,reference_numeric_parenthesis,True,True
4,12,text,"EC ossification is a feasible route to utilize these guiding principles of developmental engineering, and the current review will cover advances made over the past decade in engineering EC ossificatio","[619.0, 313.0, 1108.0, 403.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,13,text,"While the Lenas reviews only covered replicating in vivo developmental processes in an in vitro environment, $ ^{22,23} $ the current review aims to expand their previous concept further to include re","[618.0, 404.0, 1110.0, 690.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,14,paragraph_title,Coupling in vivo developmental engineering with native ECM biomaterials,"[621.0, 718.0, 980.0, 765.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Coupling in vivo developmental engineering with native ECM b""]",subsection_heading,0.6,body_zone,body_like,none,True,True
