page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,"Knee Surgery, Sports Traumatology, Arthroscopy (2023) 31:4585–4593 https://doi.org/10.1007/s00167-023-07508-7","[98.0, 64.0, 560.0, 109.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
1,1,text,SHOULDER,"[110.0, 129.0, 218.0, 151.0]",authors,0.6,"[""page-1 initial-lastname author byline: SHOULDER""]",authors,0.6,frontmatter_main_zone,support_like,short_fragment,True,True
1,2,image,,"[1030.0, 132.0, 1089.0, 190.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,3,doc_title,Gender and degree of tendon healing are independent predictive factors for clinical outcome in successfully healed rotator cuff tears,"[97.0, 209.0, 956.0, 280.0]",paper_title,0.8,"[""page-1 zone title_zone: Gender and degree of tendon healing are independent predicti""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,Koray Şahin $ ^{1} $ ☑. Muhammed Oğuzhan Albayrak $ ^{2} $ ☑. Fatih Şentürk $ ^{3} $ ☑. Mehmet Ersin $ ^{4} $ ☑. Ali Erşen $ ^{2} $,"[96.0, 313.0, 895.0, 339.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,5,text,Received: 30 March 2023 / Accepted: 5 July 2023 / Published online: 15 July 2023,"[97.0, 373.0, 629.0, 394.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: 30 March 2023 / Accepted: 5 July 2023 / Published ""]",frontmatter_noise,0.8,body_zone,support_like,none,False,False
1,6,text,"© The Author(s) under exclusive licence to European Society of Sports Traumatology, Knee Surgery, Arthroscopy (ESSKA) 2023","[96.0, 395.0, 918.0, 416.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: \u00a9 The Author(s) under exclusive licence to European Society ""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,7,paragraph_title,Abstract,"[97.0, 450.0, 183.0, 472.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,body_zone,heading_like,short_fragment,True,True
1,8,abstract,urpose Arthroscopic rotator cuff repair (aRCR) is a commonly performed procedure and has been reported to be a success l treatment. Successful healing has traditionally been considered to be associate,"[119.0, 475.0, 1081.0, 578.0]",body_paragraph,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,9,abstract,Methods This retrospective case–control study was conducted in a single center with 135 patients who had successfully healed tendons based on Sugaya classification (grades I–III) on postoperative magn,"[96.0, 576.0, 1094.0, 699.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,10,abstract,"Results Mean age of patients was  $ 55.9 \pm 9.0 $ years and mean follow-up duration was  $ 46.8 \pm 14.9 $ months. There were 50 (37%) male and 85 (63.0%) female patients. At final follow-up, mean CM","[96.0, 701.0, 1094.0, 925.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,11,abstract,"Conclusions This study showed that despite achieving a successful healing, considerable amount of patients (17.8%) have ended up with poor outcome. Female gender and degree of tendon healing were iden","[96.0, 926.0, 1094.0, 1024.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,12,text,Keywords Rotator cuff tear · Rotator cuff healing · Predictive factor · Outcome,"[96.0, 1051.0, 734.0, 1076.0]",structured_insert,0.7,"[""frontmatter noise text: Keywords Rotator cuff tear \u00b7 Rotator cuff healing \u00b7 Predicti""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,13,paragraph_title,Introduction,"[608.0, 1124.0, 750.0, 1149.0]",section_heading,0.9,"[""explicit scholarly heading: Introduction""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
