page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,doc_title,"Articular Cartilage Lesions in 993
Consecutive Knee Arthroscopies","[85.0, 156.0, 856.0, 263.0]",paper_title,0.8,"[""page-1 zone title_zone: Articular Cartilage Lesions in 993\nConsecutive Knee Arthrosc""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,1,text,"Asbjørn Årøen, *⁴⁴⁵ MD, Sverre Løken, †⁴⁵ MD, Stig Heir, ⁴⁴ MD, Elling Alvik, ⁴ MD, Arne Ekeland, ⁴ MD, PhD, Odd G. Granlund, § MD, and Lars Engebretsen, ⁴⁴⁵ MD, PhD From the †Oslo Sports Trauma Resea","[85.0, 294.0, 997.0, 438.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Asbj\u00f8rn \u00c5r\u00f8en, *\u2074\u2074\u2075 MD, Sverre L\u00f8ken, \u2020\u2074\u2075 MD, Stig Heir, \u2074\u2074 ""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,2,abstract,Background: Traumatic articular cartilage injuries heal poorly and may lead to development of osteoarthritis at a young age. This study estimates the number of patients who may benefit from one of the,"[86.0, 506.0, 1115.0, 554.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,3,abstract,Methods: All patients undergoing knee arthroscopy during a 6-month period at three collaborating hospitals were consecutive-ly evaluated according to the International Cartilage Repair Society (ICRS) ,"[88.0, 562.0, 1115.0, 632.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,4,abstract,Results: Preoperative radiographs demonstrated degenerative changes in 13% of the knees. Articular cartilage pathology was found in 66% and a localized cartilage defect was found in 20% of the knees. ,"[86.0, 640.0, 1119.0, 731.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,5,abstract,"Conclusion: Eleven percent of all knee arthroscopies show cartilage defects that may be suitable for cartilage repair procedures. However, the natural history of these lesions and the number of patien","[85.0, 740.0, 1115.0, 809.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,6,text,Keywords: articular cartilage lesions; knee; arthroscopy; cartilage defect score,"[85.0, 818.0, 734.0, 843.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Keywords: articular cartilage lesions; knee; arthroscopy; ca""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,7,text,Studies concerning knee joint cartilage lesions have resulted in an impressive volume of orthopaedic literature. This is illustrated in several review articles published in the past 3 years. $ ^{10-12,"[85.0, 913.0, 581.0, 1311.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,8,paragraph_title,MATERIALS AND METHODS,"[625.0, 912.0, 893.0, 936.0]",section_heading,0.9,"[""explicit scholarly heading: MATERIALS AND METHODS""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,9,text,Three hospitals collaborated in the study. All knee arthroscopic procedures were registered consecutively during a period of 6 months. All patients were informed about the ongoing study preoperatively,"[623.0, 953.0, 1119.0, 1197.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Three hospitals collaborated in the study. All knee arthrosc""]",affiliation,0.8,body_zone,body_like,none,True,True
