page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Osteoarthritis and Cartilage 34 (2026) 28–38,"[445.0, 68.0, 721.0, 88.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header,"Osteoarthritis
and Cartilage","[55.0, 151.0, 328.0, 243.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,header_image,,"[796.0, 125.0, 1110.0, 241.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,3,doc_title,Osteoarthritis year in review 2025: Imaging,"[56.0, 329.0, 618.0, 363.0]",paper_title,0.6,"[""page-1 frontmatter title guard: Osteoarthritis year in review 2025: Imaging""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,4,text,"Matthew S. Harkey  $ {}^{a} $, Anthony A. Gatti  $ {}^{b} $, Mylène P. Jansen  $ {}^{c} $, McKenzie S. White  $ {}^{b} $, Jessica Tolzman  $ {}^{a} $, Arjun Parmar  $ {}^{a} $, Ian Frederick  $ {}^{a}","[55.0, 378.0, 909.0, 433.0]",authors,0.8,"[""page-1 zone author_zone: Matthew S. Harkey  $ {}^{a} $, Anthony A. Gatti  $ {}^{b} $,""]",authors,0.8,body_zone,reference_like,citation_line,True,True
1,5,image,,"[1049.0, 334.0, 1105.0, 389.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,6,text," $ ^{a} $ Department of Kinesiology, Michigan State University, East Lansing, MI, USA","[57.0, 441.0, 509.0, 459.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{a} $ Department of Kinesiology, Michigan State Universit""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,7,text," $ ^{b} $ Department of Radiology, Stanford University, Stanford, CA, USA","[57.0, 459.0, 442.0, 476.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{b} $ Department of Radiology, Stanford University, Stanf""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,8,text," $ ^{c} $ Department of Rheumatology & Clinical Immunology, University Medical Center Utrecht, Utrecht, the Netherlands","[57.0, 474.0, 725.0, 492.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{c} $ Department of Rheumatology & Clinical Immunology, U""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,9,text," $ ^{d} $ Department of Radiology and Biomedical Imaging, University of California, San Francisco, CA, USA","[57.0, 492.0, 637.0, 509.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{d} $ Department of Radiology and Biomedical Imaging, Uni""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,10,text," $ ^{e} $ La Trobe Sport and Exercise Medicine Research Centre, La Trobe University, Melbourne, VIC, Australia","[57.0, 508.0, 652.0, 525.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{e} $ La Trobe Sport and Exercise Medicine Research Centr""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,11,text,"School of Physical Therapy, Western University, London, ONT, Canada","[57.0, 527.0, 468.0, 544.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: School of Physical Therapy, Western University, London, ONT,""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,12,paragraph_title,ARTICLE INFO,"[57.0, 590.0, 255.0, 610.0]",frontmatter_noise,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: ARTICLE INFO""]",section_heading,0.5,frontmatter_main_zone,support_like,short_fragment,False,False
1,13,text,"Article history:
Received 19 June 2025
Received in revised form 10 October 2025
Accepted 6 November 2025","[57.0, 630.0, 316.0, 700.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Article history:\nReceived 19 June 2025\nReceived in revised f""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,14,text,"Keywords:
Ultrasound
Computer Tomography
Magnetic resonance imaging
Radiography","[57.0, 721.0, 236.0, 810.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Keywords:\nUltrasound\nComputer Tomography\nMagnetic resonance ""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,15,paragraph_title,A B S T R A C T,"[390.0, 590.0, 538.0, 610.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: A B S T R A C T""]",section_heading,0.5,body_zone,body_like,short_fragment,True,True
1,16,abstract,"on how emerging methods and multi-tissue assessments are contributing to disease characterization, early detection, and intervention strategies.
Design: We conducted a comprehensive search strategy of","[388.0, 657.0, 1111.0, 818.0]",body_paragraph,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,17,abstract,"Results: A total of 26 studies were included. Collectively, the studies reinforce the importance of viewing osteoarthritis as a condition involving multiple joint structures, with inflammation as a re","[389.0, 822.0, 1111.0, 955.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,18,abstract,Conclusions: Imaging research in the osteoarthritis continues to broaden in scope and application. The studies highlighted in this review illustrate how advances in methods and metrics are improving o,"[389.0, 954.0, 1109.0, 1030.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,19,text,"© 2025 Osteoarthritis Research Society International. Published by Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","[408.0, 1030.0, 1109.0, 1071.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: \u00a9 2025 Osteoarthritis Research Society International. Publis""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,20,paragraph_title,Introduction,"[58.0, 1134.0, 163.0, 1154.0]",section_heading,0.9,"[""explicit scholarly heading: Introduction""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,21,text,"Osteoarthritis (OA) is a heterogeneous, multi-tissue disease characterized by structural changes, inflammation, and altered joint function  $ [1] $. Medical imaging plays a critical role in the assess","[56.0, 1176.0, 569.0, 1219.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,22,text,,"[595.0, 1133.0, 1111.0, 1367.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
1,23,footnote," $ ^{*} $ Correspondence to: Department of Kinesiology, Michigan State University, 308 W. Circle Drive #112, East Lansing MI, 48824.","[57.0, 1261.0, 569.0, 1298.0]",footnote,0.7,"[""footnote label: $ ^{*} $ Correspondence to: Department of Kinesiology, Michi""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
1,24,footnote,"E-mail addresses: harkeym1@msu.edu (M. Harkey),","[72.0, 1297.0, 393.0, 1314.0]",footnote,0.7,"[""footnote label: E-mail addresses: harkeym1@msu.edu (M. Harkey),""]",footnote,0.7,body_zone,body_like,none,True,True
1,25,footnote,"aagatti@stanford.edu (A. Gatti), m.p.jansen-36@umcutrecht.nl (M. Jansen), kenziew@stanford.edu (M. White), tolzmanj@msu.edu (J. Tolzman), parmarar@msu.edu (A. Parmar), frede220@msu.edu (I. Frederick),","[57.0, 1304.0, 509.0, 1386.0]",footnote,0.7,"[""footnote label: aagatti@stanford.edu (A. Gatti), m.p.jansen-36@umcutrecht.nl""]",footnote,0.7,body_zone,body_like,none,True,True
1,26,footer,https://doi.org/10.1016/j.joca.2025.11.004,"[58.0, 1402.0, 307.0, 1419.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,27,footer,"1063-4584/© 2025 Osteoarthritis Research Society International. Published by Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","[55.0, 1417.0, 1111.0, 1455.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
2,0,header,M.S. Harkey et al. / Osteoarthritis and Cartilage 34 (2026) 28–38,"[416.0, 70.0, 797.0, 88.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
2,1,number,29,"[1112.0, 70.0, 1132.0, 86.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,2,text,"identify imaging features of early disease, defined as changes preceding radiographic OA (Kellgren Lawrence [KL] grade > 1), and to better characterize distinct OA subgroups [3–5].","[78.0, 107.0, 593.0, 170.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,3,text,"This narrative review aimed to identify a select number of imaging studies from the past year that highlight emerging trends, novel approaches, and clinical relevance in OA. We acknowledge that many o","[79.0, 171.0, 594.0, 424.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,4,paragraph_title,Methods,"[81.0, 443.0, 156.0, 463.0]",section_heading,0.9,"[""explicit scholarly heading: Methods""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
2,5,text,"To ensure a comprehensive and unbiased selection of studies, we performed a systematic search of PubMed, Embase via EBSCO, and CINAHL via EBSCO for studies on imaging and OA with an initial search on ","[78.0, 484.0, 594.0, 1012.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,6,paragraph_title,Search results and thematic organization,"[80.0, 1032.0, 411.0, 1053.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Search results and thematic organization""]",subsection_heading,0.6,body_zone,body_like,none,True,True
2,7,text,"The initial search yielded 4842 records. After removing duplicates, we screened 3852 titles and abstracts, and 262 full-text studies met the inclusion criteria (Fig. 1). Each full-text article was ind","[78.0, 1073.0, 594.0, 1475.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,8,text,,"[618.0, 107.0, 1135.0, 256.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
2,9,paragraph_title,Major themes,"[620.0, 275.0, 738.0, 297.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Major themes""]",subsection_heading,0.6,body_zone,body_like,short_fragment,True,True
2,10,text,Theme #1: effusion-synovitis imaging,"[620.0, 317.0, 896.0, 340.0]",unknown_structural,0.8,"[""page-1 zone author_zone: Theme #1: effusion-synovitis imaging""]",authors,0.8,body_zone,body_like,none,False,True
2,11,text,Highlighted study: [11C]-PBR28 PET as a novel marker of synovial inflammation,"[618.0, 358.0, 1133.0, 401.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,12,text,Sandström et al. [6] conducted the first in vivo study using [11 C]-PBR28 PET/MRI in knee osteoarthritis (OA) to measure joint inflammation (Fig. 2). The technique targets the 18-kDa translocator prot,"[619.0, 401.0, 1135.0, 737.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,13,text,Additional Key Studies,"[644.0, 737.0, 822.0, 758.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,14,text,"• Ultrasound Effusion-Synovitis and Gait Asymmetry: Harkey et al. [7] found that 87% of individuals 1–5 years post-ACL reconstruction had ultrasound-detected effusion-synovitis, with higher effusion g","[628.0, 778.0, 1134.0, 926.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,15,text,• Early Knee OA Effusion and Symptoms: Mizuno et al. [8] used ultrasound to evaluate joint effusion and reported that even mild effusion in participants with early knee OA was associated with worse sy,"[628.0, 926.0, 1134.0, 1073.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,16,text,• Synovitis Mediates OA Progression: Deng et al. [9] used longitudinal MRI and mediation modeling to show that synovitis mediates the relationship between medial meniscus extrusion and knee OA progres,"[628.0, 1074.0, 1133.0, 1179.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,17,text,"- AI-Based Effusion Detection on Radiographs: Won et al. [10] developed an AI model to classify knee joint effusion on radiographs, using MRI-defined effusion as the reference standard. The model outp","[628.0, 1179.0, 1134.0, 1307.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,18,text,Theme summary: advancing the detection and interpretation of synovial inflammation,"[620.0, 1326.0, 1085.0, 1369.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,19,text,"The past year's work reinforces that effusion-synovitis is not merely an incidental finding but a clinically meaningful feature across the OA spectrum, from post-traumatic populations to early and est","[618.0, 1389.0, 1135.0, 1475.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,0,number,30,"[58.0, 70.0, 79.0, 86.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
3,1,header,M.S. Harkey et al. / Osteoarthritis and Cartilage 34 (2026) 28–38,"[392.0, 69.0, 774.0, 89.0]",noise,0.9,"[""header label""]",noise,0.9,,unknown_like,none,False,False
3,2,image,,"[141.0, 136.0, 1018.0, 1261.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
3,3,figure_title,Fig. 1,"[77.0, 1306.0, 138.0, 1330.0]",figure_caption,0.92,"[""figure_title label: Fig. 1""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
3,4,figure_title,"Flow diagram outlining the study selection process for the narrative review. A total of 4842 records were identified through database searches, with 990 duplicates removed and 262 studies assessed as ","[67.0, 1345.0, 1099.0, 1411.0]",figure_caption,0.85,"[""figure_title label: Flow diagram outlining the study selection process for the n""]",figure_caption,0.85,body_zone,legend_like,none,True,True
4,0,header,M.S. Harkey et al. / Osteoarthritis and Cartilage 34 (2026) 28–38,"[416.0, 69.0, 797.0, 88.0]",noise,0.9,"[""header label""]",noise,0.9,,unknown_like,none,False,False
4,1,number,31,"[1111.0, 70.0, 1131.0, 87.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
4,2,image,,"[87.0, 121.0, 1120.0, 649.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,body_like,empty,True,True
4,3,vision_footnote,"PET/MRI as a Marker of Synovial Inflammation in Knee Osteoarthritis. Representative  $ [^{11}C] $-PBR28 PET/MRI images showing tracer uptake of  $ [^{11}C] $-PBR28, which binds to the 18-kDa transloca","[88.0, 681.0, 1122.0, 828.0]",footnote,0.7,"[""vision_footnote label: PET/MRI as a Marker of Synovial Inflammation in Knee Osteoar""]",footnote,0.7,,unknown_like,none,True,True
