page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,REVIEW,"[99.0, 42.0, 210.0, 72.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,header,small science,"[1014.0, 14.0, 1099.0, 81.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,2,header,www.small-science-journal.com,"[883.0, 86.0, 1098.0, 107.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,3,doc_title,Gathering Evidence to Leverage Musculoskeletal Magnetic Stimulation Towards Clinical Applicability,"[96.0, 135.0, 1080.0, 225.0]",paper_title,0.8,"[""page-1 zone title_zone: Gathering Evidence to Leverage Musculoskeletal Magnetic Stim""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,"José G. S. Figueiredo, Bárbara M. de Sousa, Marco P. Soares dos Santos,* and Sandra I. Vieira*","[91.0, 254.0, 947.0, 320.0]",authors,0.8,"[""page-1 zone author_zone: Jos\u00e9 G. S. Figueiredo, B\u00e1rbara M. de Sousa, Marco P. Soares ""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,abstract,"Musculoskeletal disorders are among the main causes of disease-associated disability. Moreover, the incidence and prevalence of osteoporosis and osteoarthritis, as well as the risk of bone fractures a","[97.0, 386.0, 735.0, 883.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,6,paragraph_title,1. Introduction,"[98.0, 951.0, 247.0, 976.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
1,7,text,"The 2019 Global Burden of Disease placed musculoskeletal disorders among the 10 top drivers of increasing burden, given its increasing impact on disability-adjusted life-years (DALYs) from 1990 to 201","[95.0, 992.0, 589.0, 1130.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,8,text,"needs of individuals affected by musculoskeletal conditions endangering functional health.[3,4] Surgery is indicated for severe musculoskeletal disorders that cause substantial pain and disability, an","[765.0, 365.0, 1099.0, 770.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,9,text,"Active bone healing, key for long-term successful therapies, may be achieved by stimulating bone tissue remodeling via biochemical, mechanical, or electromagnetic stimuli. $ ^{[9]} $ The benefits of e","[765.0, 770.0, 1098.0, 948.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
