page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[86.0, 50.0, 295.0, 123.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,1,header,ORIGINAL RESEARCH published: 04 September 2018 doi: 10.3389/fphys.2018.00974,"[907.0, 67.0, 1105.0, 120.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
1,2,image,,"[1045.0, 144.0, 1099.0, 199.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,3,doc_title,"The Resting Potential and K $ ^{+} $
Currents in Primary Human Articular
Chondrocytes","[351.0, 265.0, 1084.0, 404.0]",paper_title,0.8,"[""page-1 zone title_zone: The Resting Potential and K $ ^{+} $\nCurrents in Primary Hum""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,"Mary M. Maleckar $ ^{1,2} $, Robert B. Clark $ ^{3} $, Bartholomew Votta $ ^{4} $ and Wayne R. Giles $ ^{5*} $","[350.0, 429.0, 1031.0, 453.0]",authors,0.8,"[""page-1 zone author_zone: Mary M. Maleckar $ ^{1,2} $, Robert B. Clark $ ^{3} $, Barth""]",authors,0.8,body_zone,reference_like,citation_line,True,True
1,5,text," $ ^{1} $ Simula Research Laboratory, Center for Biomedical Computing and Center for Cardiological Innovation, Oslo, Norway,
 $ ^{2} $ Allen Institute for Cell Science, Seattle, WA, United States,  $ ","[350.0, 468.0, 1088.0, 550.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $ Simula Research Laboratory, Center for Biomedical C""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,6,text,OPEN ACCESS,"[172.0, 738.0, 323.0, 763.0]",frontmatter_noise,0.7,"[""frontmatter noise text: OPEN ACCESS""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,short_fragment,False,False
1,7,text,"Edited by:
Leonardo Angelone,
United States Food and Drug
Administration, United States","[139.0, 780.0, 324.0, 862.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Edited by:\nLeonardo Angelone,\nUnited States Food and Drug\nAd""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,8,abstract,Human transplant programs provide significant opportunities for detailed in vitro assessments of physiological properties of selected tissues and cell types. We present a semi-quantitative study of th,"[347.0, 578.0, 1107.0, 1165.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,9,text,"Reviewed by: Richard Gray, State Food and Drug Administration, China","[95.0, 869.0, 324.0, 944.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Reviewed by: Richard Gray, State Food and Drug Administratio""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,10,text,"Ali Mobasheri,
University of Surrey, United Kingdom","[96.0, 943.0, 324.0, 990.0]",frontmatter_noise,0.7,"[""keyword-like block: Ali Mobasheri,\nUniversity of Surrey, United Kingdom""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,11,text,"*Correspondence:
Wayne R. Giles
wgiles@ucalgary.ca","[198.0, 996.0, 324.0, 1057.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: *Correspondence:\nWayne R. Giles\nwgiles@ucalgary.ca""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,12,text,"Specialty section:
This article was submitted to
Computational Physiology and
Medicine,
a section of the journal
Frontiers in Physiology","[131.0, 1080.0, 325.0, 1203.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Specialty section:\nThis article was submitted to\nComputation""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,13,text,"Citation: Maleckar MM, Clark RB, Votta B and Giles WR (2018) The Resting Potential and  $ K^{+} $Currents in Primary Human Articular Chondrocytes. Front. Physiol. 9:974. doi: 10.3389/fphys.2018.00974","[88.0, 1281.0, 324.0, 1417.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Citation: Maleckar MM, Clark RB, Votta B and Giles WR (2018)""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,14,text,"Received: 13 April 2018
Accepted: 03 July 2018
Published: 04 September 2018
Keywords: human chondrocyte, patch clamp recordings, K⁺ currents, TRP channels, mathematical model, resting membrane potenti","[120.0, 1211.0, 324.0, 1271.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: 13 April 2018\nAccepted: 03 July 2018\nPublished: 04""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,15,text,"Keywords: human chondrocyte, patch clamp recordings, K+ currents, TRP channels, mathematical model, resting
membrane potential, depolarization-secretion coupling","[348.0, 1178.0, 1106.0, 1222.0]",frontmatter_noise,0.7,"[""keyword-like block: Keywords: human chondrocyte, patch clamp recordings, K+ curr""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,16,paragraph_title,INTRODUCTION,"[351.0, 1256.0, 546.0, 1284.0]",section_heading,0.9,"[""explicit scholarly heading: INTRODUCTION""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,17,text,Articular cartilage is a major component of the flexible connective tissue that covers the opposed ends of articular joints. It is essential for the stability and low friction movement of the associat,"[348.0, 1304.0, 1107.0, 1421.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,18,footer,Frontiers in Physiology | www.frontiersin.org,"[86.0, 1481.0, 353.0, 1500.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,19,number,1,"[589.0, 1482.0, 602.0, 1499.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
1,20,footer,September 2018 | Volume 9 | Article 974,"[855.0, 1480.0, 1104.0, 1500.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
2,0,header,Maleckar et al.,"[86.0, 56.0, 180.0, 76.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,short_fragment,False,False
2,1,header,Chondrocyte K⁺ Currents Modulate Eᵐ,"[857.0, 56.0, 1103.0, 77.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,none,False,False
2,2,text,"named a “chondron” (Poole, 1997; Guilak et al., 2006; Nguyen et al., 2010; McLane et al., 2013). Under physiological circumstances, cyclical mechanical forces within the joint capsule create a dynamic","[83.0, 122.0, 584.0, 259.0]",unknown_structural,0.8,"[""page-1 zone author_zone: named a \u201cchondron\u201d (Poole, 1997; Guilak et al., 2006; Nguyen""]",authors,0.8,body_zone,body_like,none,False,True
2,3,text,"Although chondrocytes occupy only  $ \sim $1–10% of the total volume of mammalian articular cartilage (Hall et al., 1996; Archer and Francis-West, 2003), they play essential roles in the homeostasis o","[83.0, 260.0, 585.0, 627.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,4,text,"In a variety of progressive chronic diseases, or as a consequence of injury, there is chondrocyte damage and related dysfunction (Bush et al., 2003; Martin and Buckwalter, 2003; Bush and Hall, 2005; M","[83.0, 626.0, 585.0, 1201.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,5,text,Detailed experimental investigations that address possible functional relationships between chondrocyte electrophysiology and pathophysiology are technically challenging. This is mainly due to the ver,"[82.0, 1200.0, 585.0, 1432.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,6,text,"other experimental data we have developed a mathematical
model based on the fundamental components responsible for
K+ transport in the human chondrocyte. This model is based
mainly on experimental dat","[603.0, 122.0, 1106.0, 237.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,7,text,The goals of this paper are: (i) to identify the main K⁺ currents that contribute to the resting membrane potential (ii) to develop the first mathematical model of essential electrophysiological princ,"[603.0, 237.0, 1107.0, 491.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,8,paragraph_title,METHODS,"[605.0, 513.0, 737.0, 541.0]",section_heading,0.9,"[""explicit scholarly heading: METHODS""]",section_heading,0.9,frontmatter_side_zone,heading_like,canonical_section_name,True,True
2,9,text,"Mammalian chondrocytes express a number of different voltage-and ligand-gated ion channels, together with ion-selective pumps and exchangers as well as intercellular coupling proteins (cf. Barrett-Jol","[602.0, 560.0, 1106.0, 931.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
