page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[83.0, 90.0, 187.0, 215.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,1,header,Available online at www.sciencedirect.com,"[303.0, 90.0, 650.0, 114.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,header,ScienceDirect,"[344.0, 135.0, 608.0, 166.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,header,Materials Today: Proceedings 3 (2016) 2113–2120,"[309.0, 188.0, 645.0, 212.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,4,header_image,,"[771.0, 110.0, 1001.0, 176.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,5,header,www.materialstoday.com/proceedings,"[750.0, 191.0, 1002.0, 212.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,6,text,Recent Advances In Nano Science And Technology 2015 (RAINSAT2015),"[70.0, 351.0, 714.0, 378.0]",authors,0.8,"[""page-1 zone author_zone: Recent Advances In Nano Science And Technology 2015 (RAINSAT""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,7,doc_title,Structural Characterization of Silver-Hydroxyapatite Nanocomposite: A Bone Repair Biomaterial,"[179.0, 428.0, 902.0, 505.0]",unknown_structural,0.8,"[""page-1 zone author_zone: Structural Characterization of Silver-Hydroxyapatite Nanocom""]",authors,0.8,frontmatter_main_zone,support_like,none,False,True
1,8,text,"Amardeep Bharti $ ^{a,*} $, Suman Singh $ ^{b} $, Vijay Kumar Meena $ ^{b} $ and Navdeep Goyal $ ^{a} $","[126.0, 529.0, 956.0, 561.0]",authors,0.8,"[""page-1 zone author_zone: Amardeep Bharti $ ^{a,*} $, Suman Singh $ ^{b} $, Vijay Kuma""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,9,text," $ ^{a} $Department of physics, Panjab University, Chandigarh, INDIA-160014  
 $ ^{b} $Central Scientific Instruments Organization, CSIR, Chandigarh, INDIA-160030","[277.0, 576.0, 804.0, 618.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{a} $Department of physics, Panjab University, Chandigarh""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
