page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[73.0, 121.0, 193.0, 228.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,1,header,Nano Energy 76 (2020) 105028,"[488.0, 68.0, 700.0, 90.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,header,ELSEVIER,"[73.0, 233.0, 194.0, 258.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,header,Contents lists available at ScienceDirect,"[453.0, 122.0, 742.0, 144.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,4,header,Nano Energy,"[514.0, 171.0, 680.0, 202.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,5,header,journal homepage: http://www.elsevier.com/locate/nanoen,"[372.0, 233.0, 822.0, 256.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,6,header_image,,"[1000.0, 108.0, 1116.0, 253.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,7,doc_title,Biodegradable nanofiber bone-tissue scaffold as remotely-controlled and self-powering electrical stimulator,"[70.0, 329.0, 947.0, 397.0]",paper_title,0.6,"[""page-1 frontmatter title guard: Biodegradable nanofiber bone-tissue scaffold as remotely-con""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,8,image,,"[1001.0, 297.0, 1059.0, 354.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,9,text,"Ritopa Das $ ^{a} $, Eli J. Curry $ ^{a,1} $, Thinh T. Le $ ^{b,1} $, Guleid Awale $ ^{c} $, Yang Liu $ ^{b} $, Shunyi Li $ ^{a} $, Joemart Contreras $ ^{a} $, Casey Bednarz $ ^{d} $, Jayla Millender ","[69.0, 417.0, 882.0, 496.0]",authors,0.8,"[""page-1 zone author_zone: Ritopa Das $ ^{a} $, Eli J. Curry $ ^{a,1} $, Thinh T. Le $ ""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,10,text," $ ^{a} $ Department of Biomedical Engineering, University of Connecticut, Storrs, CT, 06269, USA","[70.0, 509.0, 576.0, 528.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{a} $ Department of Biomedical Engineering, University of""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,11,text," $ ^{b} $ Department of Mechanical Engineering, University of Connecticut, Storrs, CT, 06269, USA","[70.0, 527.0, 577.0, 545.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{b} $ Department of Mechanical Engineering, University of""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,12,text," $ ^{c} $ Department of Chemical and Biomolecular Engineering, University of Connecticut, Storrs, CT, 06269, USA","[70.0, 544.0, 660.0, 562.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{c} $ Department of Chemical and Biomolecular Engineering""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,13,text," $ ^{d} $ Department of Physiology and Neurobiology, University of Connecticut, Storrs, CT, 06269, USA","[70.0, 563.0, 608.0, 582.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{d} $ Department of Physiology and Neurobiology, Universi""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,14,text," $ ^{e} $ Center for Regenerative Medicine and Skeletal Development, School of Dental Medicine, University of Connecticut Health Center, Farmington, CT, 06030, USA","[70.0, 577.0, 944.0, 595.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{e} $ Center for Regenerative Medicine and Skeletal Devel""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,15,text," $ ^{1} $ The Connecticut Convergence Institute for Translation in Regenerative Engineering, University of Connecticut Health Center, Farmington, CT, 06030, USA","[67.0, 594.0, 912.0, 615.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $ The Connecticut Convergence Institute for Translati""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,16,text," $ ^{8} $ Department of Medicine, University of Connecticut Health Center, Farmington, CT, 06030, USA","[71.0, 613.0, 606.0, 629.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{8} $ Department of Medicine, University of Connecticut H""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,17,text," $ ^{h} $ Institute of Materials Science, University of Connecticut, Storrs, CT, 06269, USA","[71.0, 629.0, 525.0, 648.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{h} $ Institute of Materials Science, University of Conne""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,18,paragraph_title,ARTICLE INFO,"[72.0, 695.0, 234.0, 713.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: ARTICLE INFO""]",section_heading,0.5,body_zone,body_like,short_fragment,True,True
1,19,text,"Keywords:
Biodegradable piezoelectric nanofibers
Ultrasound
Electrical stimulation
Bone regeneration
Tissue engineering","[71.0, 732.0, 300.0, 839.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Keywords:\nBiodegradable piezoelectric nanofibers\nUltrasound\n""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,20,paragraph_title,A B S T R A C T,"[400.0, 694.0, 522.0, 713.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: A B S T R A C T""]",section_heading,0.5,body_zone,body_like,short_fragment,True,True
1,21,abstract,Electrical stimulation (ES) has been shown to induce and enhance bone regeneration. By combining this treatment with tissue-engineering approaches (which rely on biomaterial scaffolds to construct art,"[397.0, 733.0, 1120.0, 966.0]",body_paragraph,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,22,paragraph_title,1. Introduction,"[72.0, 1023.0, 198.0, 1043.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,body_zone,body_like,heading_numbered,True,True
1,23,text,"Reconstruction of large/major bone defects remains a significant challenge in modern medicine  $ [1,2] $. Until now, the gold standard has been to use auto- or allo-grafts, which suffer from problems ","[69.0, 1065.0, 581.0, 1232.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,24,text,"Several biomaterials including hydrogels, naturally-derived biomaterials, synthetic polymers (e.g. poly(lactic-co-glycolic acid), poly(lactic acid), polycaprolactone, etc.) [7–9] in combination with c","[70.0, 1233.0, 581.0, 1276.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,25,text,,"[605.0, 1022.0, 1120.0, 1276.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
1,26,footnote,"* Corresponding author. Department of Mechanical Engineering, University of Connecticut, Storrs, CT, 06269, USA.","[80.0, 1322.0, 835.0, 1345.0]",footnote,0.7,"[""footnote label: * Corresponding author. Department of Mechanical Engineering""]",footnote,0.7,body_zone,body_like,none,True,True
1,27,footnote,E-mail address: nguyentd@uconn.edu (T.D. Nguyen).,"[81.0, 1342.0, 442.0, 1363.0]",footnote,0.7,"[""footnote label: E-mail address: nguyentd@uconn.edu (T.D. Nguyen).""]",footnote,0.7,body_zone,body_like,none,True,True
1,28,footnote, $ ^{1} $ Denotes equally contributed Authors.,"[81.0, 1361.0, 344.0, 1380.0]",footnote,0.7,"[""footnote label: $ ^{1} $ Denotes equally contributed Authors.""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
1,29,footnote,https://doi.org/10.1016/j.nanoen.2020.105028,"[71.0, 1394.0, 384.0, 1413.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: https://doi.org/10.1016/j.nanoen.2020.105028""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,30,footer,"Received 26 March 2020; Received in revised form 6 May 2020; Accepted 27 May 2020
Available online 27 June 2020
2211-2855/© 2020 Elsevier Ltd. All rights reserved.","[70.0, 1405.0, 648.0, 1469.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
2,0,header,R. Das et al.,"[71.0, 70.0, 146.0, 87.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,1,header,Nano Energy 76 (2020) 105028,"[937.0, 70.0, 1120.0, 88.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
2,2,text,render ES limited in clinical applications and combination with tissue engineering approaches.,"[70.0, 107.0, 581.0, 148.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,3,text,"Piezoelectric materials, a group of “smart” materials which produce electricity under applied force, can be used as a self-powered scaffold that can utilize body movements or external mechanical vibra","[68.0, 151.0, 582.0, 609.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,4,text,"Consequently, the development of biodegradable piezoelectric materials becomes important to offer novel biomaterials that can generate electrical charges to promote bone regeneration and safely degrad","[68.0, 610.0, 582.0, 944.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,5,text,"The nanofibers not only offer an extracellular matrix (ECM)-like environment [35–37] but are also biodegradable to avoid the need for any removal procedures and facilitate tissue in-growth, an advance","[68.0, 944.0, 582.0, 1155.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,6,text,,"[606.0, 107.0, 1120.0, 190.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
2,7,paragraph_title,2. Experimental section,"[607.0, 211.0, 802.0, 232.0]",section_heading,0.85,"[""paragraph_title label with numbering: 2. Experimental section""]",section_heading,0.85,body_zone,reference_like,reference_numeric_dot,True,True
2,8,paragraph_title,2.1. Preparation of PLLA nanofiber mat,"[608.0, 253.0, 893.0, 274.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.1. Preparation of PLLA nanofiber mat""]",subsection_heading,0.85,body_zone,body_like,heading_numbered,True,True
2,9,text,"The poly(L-lactic acid) (PLLA) nanofiber mat was fabricated by electrospinning as described in our previous work [32]. PLLA (PUR-ASORB PL38) was purchased from Corbion Purac (Amsterdam, Netherlands). ","[606.0, 295.0, 1120.0, 819.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,10,paragraph_title,2.2. Characterization of PLLA film,"[609.0, 840.0, 857.0, 861.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.2. Characterization of PLLA film""]",subsection_heading,0.85,body_zone,body_like,heading_numbered,True,True
2,11,text,SEM: Scanning Electron Microscopy (SEM) was performed on mats prepared to observe the orientation of the PLLA fibers and the microstructure of the mats. Square shaped PLLA films with a dimension of 7m,"[606.0, 882.0, 1120.0, 1111.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,12,text,Measurement of the piezoelectric property and ultrasound receiving capability of the PLLA films: A force sensor was fabricated to test the,"[606.0, 1113.0, 1121.0, 1155.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,13,image,,"[74.0, 1184.0, 815.0, 1463.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
2,14,figure_title,"Fig. 1. The use of biodegradable piezoelectric PLLA nanofibers in combination with non-invasive ultrasound (US) to produce well-controlled, on-demand and stable surface charge (i.e. electrical stimula","[826.0, 1179.0, 1119.0, 1466.0]",figure_caption,0.92,"[""figure_title label: Fig. 1. The use of biodegradable piezoelectric PLLA nanofibe""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
2,15,number,2,"[589.0, 1513.0, 603.0, 1528.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
