page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Lee et al. Knee Surgery & Related Research (2022) 34:1 https://doi.org/10.1186/s43019-022-00132-8,"[108.0, 63.0, 488.0, 106.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
1,1,header,Knee Surgery & Related Research,"[850.0, 64.0, 1082.0, 123.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,text,REVIEW ARTICLE,"[120.0, 181.0, 343.0, 209.0]",authors,0.6,"[""page-1 initial-lastname author byline: REVIEW ARTICLE""]",authors,0.6,frontmatter_main_zone,support_like,short_fragment,True,True
1,3,text,Open Access,"[923.0, 180.0, 1075.0, 208.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Open Access""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,image,,"[1019.0, 221.0, 1077.0, 278.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,5,doc_title,"Past, present, and future of cartilage restoration: from localized defect to arthritis","[108.0, 238.0, 993.0, 337.0]",paper_title,0.8,"[""page-1 zone title_zone: Past, present, and future of cartilage restoration: from loc""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,text,"Dong Hwan Lee, Seok Jung Kim $ ^{*} $, Seon Ae Kim and Gang-ik Ju","[107.0, 356.0, 658.0, 385.0]",authors,0.8,"[""page-1 zone author_zone: Dong Hwan Lee, Seok Jung Kim $ ^{*} $, Seon Ae Kim and Gang-""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,7,paragraph_title,Abstract,"[122.0, 454.0, 209.0, 479.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,8,abstract,"Background: Osteoarthritis, one of the most common joint diseases, is characterized by the loss of joint function due to articular cartilage destruction. Herein, we review current and previous researc","[120.0, 485.0, 1051.0, 559.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,9,abstract,"Past, present, and future treatment: The arthroscopic cartilage regeneration procedure or realignment osteotomy has been performed as a joint-conserving procedure in cases where conservative treatment","[120.0, 564.0, 1065.0, 756.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,10,abstract,"Conclusion: Currently, arthritis management primarily involves the surgical application of therapeutic agents to the joints. However, nonsurgical or prophylactic methods are expected to become mainstr","[119.0, 762.0, 1058.0, 835.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,11,text,"Keywords: Minimally invasive surgery, Osteoarthritis, Arthritis, Biological treatment","[119.0, 840.0, 794.0, 866.0]",structured_insert,0.7,"[""keyword-like block: Keywords: Minimally invasive surgery, Osteoarthritis, Arthri""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,12,paragraph_title,Background,"[109.0, 910.0, 228.0, 932.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: Background""]",section_heading,0.5,body_zone,heading_like,short_fragment,True,True
1,13,text,"Although mechanistic details regarding outcomes associated with articular cartilage damage remain unclear, the idea that arthritis occurs in areas surrounding articular cartilage damage is generally a","[106.0, 935.0, 585.0, 1176.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Although mechanistic details regarding outcomes associated w""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,14,text,"contributes to additional medical problems [3]. Pain
management using medication and physical treatment
have long been therapeutic options for the treatment of
damaged articular cartilage and early ar","[602.0, 909.0, 1083.0, 1125.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,15,text,"As life expectancy increases, patients have tended to have an increasingly strong desire to live a healthy life and maintain their native joints into old age. Therefore, efforts to protect articular c","[602.0, 1126.0, 1082.0, 1271.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,16,footnote,*Correspondence: peter@catholic.ac.kr,"[109.0, 1209.0, 351.0, 1229.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: *Correspondence: peter@catholic.ac.kr""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,17,footnote,"Department of Orthopedic Surgery, Uijeongbu St. Mary's Hospital, College of Medicine, The Catholic University of Korea, 271, Cheonbo-ro, Gyeonggi-do 11765 Uijeongbu-si, Republic of Korea","[108.0, 1219.0, 541.0, 1284.0]",footnote,0.7,"[""footnote label: Department of Orthopedic Surgery, Uijeongbu St. Mary's Hospi""]",footnote,0.7,body_zone,body_like,none,True,True
1,18,footer_image,,"[115.0, 1315.0, 323.0, 1401.0]",unknown_structural,0.2,"[""unrecognized label 'footer_image'""]",unknown_structural,0.2,body_zone,unknown_like,empty,False,True
