page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[73.0, 121.0, 193.0, 228.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,1,header,Ultrasonics Sonochemistry 117 (2025) 107353,"[441.0, 68.0, 746.0, 89.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,header,ELSEVIER,"[73.0, 234.0, 194.0, 258.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,header,Contents lists available at ScienceDirect,"[452.0, 121.0, 743.0, 145.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,4,header,Ultrasonics Sonochemistry,"[430.0, 170.0, 765.0, 202.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,5,header,journal homepage: www.elsevier.com/locate/ultson,"[399.0, 233.0, 795.0, 256.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,6,header_image,,"[1001.0, 108.0, 1116.0, 252.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,7,doc_title,Ultrasound-activated piezoelectric biomaterials for cartilage regeneration☆,"[70.0, 329.0, 969.0, 362.0]",paper_title,0.6,"[""page-1 frontmatter title guard: Ultrasound-activated piezoelectric biomaterials for cartilag""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,8,text,"Yangchen Wei $ ^{a,b,1} $, Zhengyang Li $ ^{a,b,1} $, Tianjing Yu $ ^{a} $, Yan Chen $ ^{a} $, Qinglai Yang $ ^{c} $, Kaikai Wen $ ^{b,d,*} $, Junlin Liao $ ^{a,*} $, Linlin Li $ ^{b,d,*} $","[71.0, 383.0, 837.0, 436.0]",authors,0.8,"[""page-1 zone author_zone: Yangchen Wei $ ^{a,b,1} $, Zhengyang Li $ ^{a,b,1} $, Tianji""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,9,text,"The First Affiliated Hospital, Center of Burn & Plastic and Wound Repair, Hengyang Medical School, University of South China, Hengyang, Hunan 421001, PR China

Beijing Institute of Nanoenergy and Nano","[71.0, 449.0, 970.0, 479.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: The First Affiliated Hospital, Center of Burn & Plastic and ""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,10,text," $ ^{D} $ Beijing Institute of Nanoenergy and Nanosystems, Chinese Academy of Sciences, Beijing 101400, PR China","[70.0, 469.0, 669.0, 486.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{D} $ Beijing Institute of Nanoenergy and Nanosystems, Ch""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,11,text," $ ^{c} $ Center for Molecular Imaging Probe, Hunan Province Key Laboratory of Tumor Cellular and Molecular Pathology, Cancer Research Institute, Hengyang Medical School,","[70.0, 485.0, 971.0, 509.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{c} $ Center for Molecular Imaging Probe, Hunan Province ""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,12,text,"University of South China, Hengyang, Hunan 421001, PR China","[71.0, 500.0, 430.0, 518.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: University of South China, Hengyang, Hunan 421001, PR China""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,13,text," $ ^{d} $ School of Nanoscience and Engineering, University of Chinese Academy of Sciences, Beijing 100049, PR China","[72.0, 518.0, 685.0, 538.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{d} $ School of Nanoscience and Engineering, University o""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,14,paragraph_title,ARTICLE INFO,"[72.0, 584.0, 234.0, 602.0]",unknown_structural,0.6,"[""author byline on page 1, assigned as authors: ARTICLE INFO""]",authors,0.6,body_zone,body_like,short_fragment,False,True
1,15,text,"Keywords:
Piezoelectric biomaterials
Cartilage regeneration
Ultrasound
Bionics
Microenvironment","[71.0, 621.0, 225.0, 725.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Keywords:\nPiezoelectric biomaterials\nCartilage regeneration\n""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,16,paragraph_title,A B S T R A C T,"[401.0, 583.0, 522.0, 602.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: A B S T R A C T""]",section_heading,0.5,body_zone,body_like,short_fragment,True,True
1,17,abstract,"Due to the low density of chondrocytes and limited ability to repair damaged extracellular matrix (ECM) in cartilage, many patients with congenital or acquired craniofacial trauma require filler graft","[398.0, 621.0, 1119.0, 988.0]",body_paragraph,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,18,paragraph_title,1. Introduction,"[71.0, 1045.0, 199.0, 1065.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,body_zone,body_like,heading_numbered,True,True
1,19,text,"Electrical stimulation (ES) is widely used method for in vitro and in vivo biomedical applications, exerting beneficial effects on cellular functions such as metabolism, proliferation, and differentia","[69.0, 1086.0, 582.0, 1214.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,20,text,"facilitates structural changes in the ECM and cellular rearrangement
under pressure stimulation. However, a major challenge in cartilage
regeneration is the lack of standardized ES activation patterns","[606.0, 1044.0, 1120.0, 1214.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,21,footnote,☆ This article is part of a special issue entitled: 'Biomaterial Assembly and Theranostics' published in Ultrasonics Sonochemistry.,"[77.0, 1264.0, 918.0, 1284.0]",footnote,0.7,"[""footnote label: \u2606 This article is part of a special issue entitled: 'Biomate""]",footnote,0.7,body_zone,body_like,none,True,True
