page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Article,"[92.0, 76.0, 146.0, 99.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,doc_title,Electromechanical Assessment of Human Knee Articular Cartilage with Compression-Induced Streaming Potentials,"[90.0, 138.0, 835.0, 258.0]",paper_title,0.8,"[""page-1 zone title_zone: Electromechanical Assessment of Human Knee Articular Cartila""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,2,text,"Cartilage
2016, Vol. 7(1) 62–69
© The Author(s) 2015
Reprints and permissions:
sagepub.com/journalsPermissions.nav
DOI: 10.1177/1947603515599191
cart.sagepub.com
SAGE","[858.0, 119.0, 1079.0, 268.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Cartilage\n2016, Vol. 7(1) 62\u201369\n\u00a9 The Author(s) 2015\nReprint""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,3,text,"Christoph Becher $ ^{1} $, Marcel Ricklefs $ ^{1} $, Elmar Willbold $ ^{2} $, Christof Hurschler $ ^{2} $, and Reza Abedian $ ^{2} $","[89.0, 325.0, 927.0, 384.0]",authors,0.8,"[""page-1 zone author_zone: Christoph Becher $ ^{1} $, Marcel Ricklefs $ ^{1} $, Elmar W""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,paragraph_title,Abstract,"[91.0, 454.0, 183.0, 477.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,5,abstract,Purpose: To assess the electromechanical properties of human knee articular cartilage with compression-induced streaming potentials for reliability among users and correlation with macroscopic and his,"[87.0, 479.0, 1085.0, 842.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,6,paragraph_title,Keywords,"[91.0, 873.0, 193.0, 896.0]",structured_insert,0.9,"[""frontmatter noise: Keywords""]",frontmatter_noise,0.9,frontmatter_main_zone,heading_like,short_fragment,False,False
1,7,text,"streaming potential integrals (SPI), articular cartilage, osteoarthritis, ICRS/Mankin score","[90.0, 898.0, 805.0, 923.0]",frontmatter_noise,0.7,"[""keyword-like block: streaming potential integrals (SPI), articular cartilage, os""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,8,paragraph_title,Introduction,"[92.0, 983.0, 241.0, 1007.0]",section_heading,0.9,"[""explicit scholarly heading: Introduction""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,9,text,"Articular cartilage defects are common findings at arthroscopic surgery of the knee joint. $ ^{1-3} $ These defects may be the cause of a variety of symptoms, such as swelling, pain, or joint stiffnes","[89.0, 1021.0, 575.0, 1431.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,10,text,,"[598.0, 982.0, 1085.0, 1177.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,11,footnote," $ ^{1} $Department of Orthopedic Surgery, Hannover Medical School, Hannover, Germany
 $ ^{2} $Laboratory for Biomechanics and Biomaterials, Hannover Medical School, Hannover, Germany","[600.0, 1233.0, 1042.0, 1316.0]",footnote,0.7,"[""footnote label: $ ^{1} $Department of Orthopedic Surgery, Hannover Medical S""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
1,12,footnote,"Corresponding Author:
Christoph Becher, Department of Orthopedic Surgery, Hannover Medical School, 1-7 Anna-von-Borries-Straße, 30625 Hannover, Germany.
Email: becher.chris@web.de","[599.0, 1325.0, 1039.0, 1428.0]",frontmatter_support,0.75,"[""page-1 correspondence footnote: Corresponding Author:\nChristoph Becher, Department of Orthop""]",frontmatter_support,0.75,body_zone,body_like,none,True,True
2,0,header,Becher et al.,"[123.0, 81.0, 223.0, 103.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,1,number,63,"[1087.0, 81.0, 1112.0, 102.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
