page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,aside_text,Current Stem Cell Research & Therapy,"[8.0, 563.0, 61.0, 1551.0]",noise,0.95,"[""margin-band narrow/tall geometry; treated as noise""]",noise,0.95,frontmatter_main_zone,support_like,none,False,False
1,1,number,54,"[14.0, 7.0, 44.0, 30.0]",noise,0.9,"[""page number label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,2,header_image,,"[16.0, 120.0, 170.0, 271.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,3,header,Send Orders for Reprints to reprints@benthamscience.net,"[769.0, 19.0, 1207.0, 39.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,4,header,MINI-REVIEW ARTICLE,"[179.0, 95.0, 422.0, 117.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,5,header,"Current Stem Cell Research & Therapy, 2020, 15, 54-60","[505.0, 75.0, 884.0, 95.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,6,doc_title,Co-culture and Mechanical Stimulation on Mesenchymal Stem Cells and Chondrocytes for Cartilage Tissue Engineering,"[196.0, 160.0, 1055.0, 218.0]",paper_title,0.8,"[""page-1 zone title_zone: Co-culture and Mechanical Stimulation on Mesenchymal Stem Ce""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,7,header,Current Stem Cell Research & Therapy,"[1096.0, 126.0, 1186.0, 167.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,8,header_image,,"[1092.0, 170.0, 1204.0, 267.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,9,text,"Yawen Chen¹,#, Xinli Ouyang¹,#, Yide Wu¹, Shaojia Guo¹, Yongfang Xie¹,* and Guohui Wang¹,*","[91.0, 324.0, 1023.0, 356.0]",authors,0.8,"[""page-1 zone author_zone: Yawen Chen\u00b9,#, Xinli Ouyang\u00b9,#, Yide Wu\u00b9, Shaojia Guo\u00b9, Yong""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,10,text," $ ^{1} $Key Laboratory of Biological Medicines in Universities of Shandong Province, Weifang Medical University, Weifang, 261053, China","[91.0, 402.0, 1065.0, 452.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $Key Laboratory of Biological Medicines in Universiti""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,11,paragraph_title,ARTICLE HISTORY,"[106.0, 600.0, 291.0, 619.0]",frontmatter_noise,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: ARTICLE HISTORY""]",section_heading,0.5,frontmatter_main_zone,support_like,short_fragment,False,False
1,12,abstract,"Abstract: Defects in articular cartilage injury and chronic osteoarthritis are very widespread and common, and the ability of injured cartilage to repair itself is limited. Stem cell-based cartilage t","[316.0, 480.0, 1068.0, 816.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,13,text,"Received: August 06, 2019  
Revised: September 09, 2019  
Accepted: September 18, 2019","[92.0, 649.0, 247.0, 695.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: August 06, 2019  \nRevised: September 09, 2019  \nAc""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,14,text,DOI:10.2174/1574888X14666191029104249,"[91.0, 706.0, 294.0, 737.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,15,image,,"[125.0, 741.0, 254.0, 788.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,16,text,"Keywords: Mesenchymal stem cells, chondrocytes, cartilage tissue engineering, co-culture, mechanical stimulation, chondrogenic differentiation.","[90.0, 839.0, 1124.0, 885.0]",frontmatter_noise,0.7,"[""keyword-like block: Keywords: Mesenchymal stem cells, chondrocytes, cartilage ti""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,17,paragraph_title,1. INTRODUCTION,"[92.0, 918.0, 278.0, 940.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. INTRODUCTION""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
1,18,text,Articular cartilage defects caused by trauma and various diseases are becoming common with increased aging. Articular cartilage damage usually causes fibrillation and peripheral articular surface dege,"[88.0, 952.0, 591.0, 1242.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
