page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,doc_title,Journal Pre-proofs,"[81.0, 138.0, 310.0, 173.0]",non_body_insert,0.2,"[""unrecognized label 'doc_title'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,text,Preparation and Properties of Self-Healable and Conductive PVA-Agar Hydrogel with Ultra-high Mechanical Strength,"[79.0, 229.0, 756.0, 290.0]",unknown_structural,0.8,"[""page-1 zone author_zone: Preparation and Properties of Self-Healable and Conductive P""]",authors,0.8,frontmatter_main_zone,support_like,none,False,True
1,2,text,"Xin Xin Sun, Chun Hui Luo, Fa Liang Luo","[80.0, 318.0, 469.0, 346.0]",authors,0.8,"[""page-1 zone author_zone: Xin Xin Sun, Chun Hui Luo, Fa Liang Luo""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text,PII: S0014-3057(19)32141-X,"[80.0, 374.0, 521.0, 401.0]",frontmatter_noise,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,False,False
1,4,text,DOI:  $ \underline{\text{https://doi.org/10.1016/j.eurpolymj.2019.109465}} $,"[81.0, 405.0, 728.0, 432.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: DOI:  $ \\underline{\\text{https://doi.org/10.1016/j.eurpolymj""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,5,text,Reference: EPJ 109465,"[82.0, 435.0, 405.0, 462.0]",frontmatter_noise,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,False,False
1,6,text,To appear in: European Polymer Journal,"[81.0, 492.0, 539.0, 520.0]",frontmatter_noise,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,False,False
1,7,image,,"[801.0, 139.0, 1071.0, 504.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,8,text,Received Date: 22 October 2019,"[81.0, 550.0, 448.0, 576.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Received Date: 22 October 2019""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,9,text,Revised Date: 21 December 2019,"[81.0, 579.0, 467.0, 606.0]",frontmatter_noise,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,False,False
1,10,text,Accepted Date: 27 December 2019,"[80.0, 609.0, 467.0, 637.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Accepted Date: 27 December 2019""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,11,text,"Please cite this article as: Xin Sun, X., Hui Luo, C., Liang Luo, F., Preparation and Properties of Self-Healable and Conductive PVA-Agar Hydrogel with Ultra-high Mechanical Strength, European Polymer","[79.0, 683.0, 1091.0, 771.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Please cite this article as: Xin Sun, X., Hui Luo, C., Liang""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,12,text,"This is a PDF file of an article that has undergone enhancements after acceptance, such as the addition of a cover page and metadata, and formatting for readability, but it is not yet the definitive v","[78.0, 853.0, 1094.0, 1000.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,13,footnote,© 2019 Published by Elsevier Ltd.,"[80.0, 1079.0, 393.0, 1107.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: \u00a9 2019 Published by Elsevier Ltd.""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
2,0,header,Journal Pre-proofs,"[493.0, 97.0, 699.0, 123.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,short_fragment,False,False
2,1,doc_title,Preparation and Properties of Self-Healable and Conductive PVA-Agar Hydrogel with Ultra-high Mechanical Strength,"[205.0, 160.0, 985.0, 257.0]",paper_title,0.2,"[""unrecognized label 'doc_title'""]",unknown_structural,0.2,body_zone,body_like,none,True,True
2,2,text,"Xin Xin Sun $ ^{1} $, Chun Hui Luo $ ^{1,2,3*} $ and Fa Liang Luo $ ^{4,*} $","[327.0, 271.0, 861.0, 299.0]",non_body_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
2,3,text,"1College of Chemistry and Chemical Engineering, North Minzu University, Yinchuan, Ningxia 750021, China.
*Corresponding Author. Email: luochunhui@iccas.ac.cn.","[174.0, 305.0, 983.0, 360.0]",frontmatter_noise,0.6,"[""default body_paragraph for text label"", ""frontmatter_side_zone excluded from body flow""]",frontmatter_noise,0.6,frontmatter_side_zone,support_like,none,False,False
2,4,text,"2Key Laboratory of Chemical Engineering and Technology, State Ethnic Affairs Commission, North Minzu University, Yinchuan 750021, Ningxia, China.","[174.0, 367.0, 963.0, 424.0]",frontmatter_support,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,5,text,"3Ningxia Key Laboratory of Solar Chemical Conversion Technology, North Minzu University, Yinchuan 750021, China","[175.0, 429.0, 1003.0, 484.0]",frontmatter_support,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,6,abstract,"4State Key Laboratory of High-efficiency Utilization of Coal and Green Chemical Engineering, Ningxia University, Yinchuan 750021, China. *Corresponding Author. Email: flluo@iccas.ac.cn.","[174.0, 491.0, 1013.0, 550.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_side_zone,support_like,none,True,True
2,7,abstract,"Abstract: Developing hydrogels with excellent mechanical properties and functions is important and challenging. Herein, commercial available materials, polyvinyl alcohol (PVA) and agar, are used to sy","[173.0, 557.0, 1017.0, 1387.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
2,8,text,Key words: PVA; Agar; high strength; self-healable; electrical conductivity,"[176.0, 1402.0, 918.0, 1433.0]",non_body_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
2,9,number,1,"[589.0, 1545.0, 601.0, 1563.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
3,0,header,Journal Pre-proofs,"[492.0, 97.0, 699.0, 123.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,unknown_like,short_fragment,False,False
3,1,paragraph_title,1. Introduction,"[177.0, 156.0, 339.0, 183.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
3,2,text,"Human tissues including muscle, skins, cartilage and tendon possess well-defined 3D structure to transfer small molecules and excellent mechanical property to support functions of living organisms. Fo","[173.0, 203.0, 1017.0, 795.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,3,text,"To achieve this goal, a variety of biocompatible polymers including poly(hydroxyethyl methacrylate) (PHEMA), poly(ethylene glycol) (PEG), poly(vinylpyrrolidone) (PVP), poly(vinyl alcohol) (PVA), and p","[172.0, 810.0, 1017.0, 1499.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,4,text,"Among these biocompatible materials, PVA gels prepared by freezing-thawing (FT)","[175.0, 1511.0, 1014.0, 1542.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,5,number,2,"[588.0, 1546.0, 603.0, 1563.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
4,0,header,Journal Pre-proofs,"[492.0, 97.0, 699.0, 123.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,unknown_like,short_fragment,False,False
