page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,aside_text,"Downloaded from http://journals.lww.com/clinorthop by BhDMf5ePHKav1zEoum1tQfN4a+kJLhEZgbslHo4XMlOhCy
wCX1AWnYQp/llQrhD3i3D0OdRyi7TvSFi4Ci3iVC4/OAVpDDa8KKGKv0Ymy+78= on 01/20/2024","[19.0, 269.0, 55.0, 930.0]",noise,0.95,"[""margin-band narrow/tall geometry; treated as noise""]",noise,0.95,frontmatter_main_zone,support_like,none,False,False
1,1,header,"Clin Orthop Relat Res (2023) 481:1158-1170
DOI 10.1097/CORR.0000000000002520","[99.0, 79.0, 433.0, 123.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,header,"Clinical Orthopaedics and Related Research $ ^{®} $
A Publication of The Association of Bone and Joint Surgeons $ ^{®} $","[795.0, 52.0, 1069.0, 124.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,3,text,Clinical Research,"[112.0, 143.0, 282.0, 168.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,doc_title,High Acromial Slope and Low Acromiohumeral Distance Increase the Risk of Retear of the Supraspinatus Tendon After Repair,"[98.0, 221.0, 1069.0, 298.0]",paper_title,0.8,"[""page-1 zone title_zone: High Acromial Slope and Low Acromiohumeral Distance Increase""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Thomas Caffard Dr med¹, Desdemona Kralewski Dr med¹, Marius Ludwig Dr med¹, Daniel Dornacher PD Dr med¹, Michael Fuchs PD Dr med¹, Thomas Kappe Prof Dr med¹, Heiko Reichel Prof Dr med¹, Mirco Sgroi PD","[96.0, 329.0, 910.0, 403.0]",authors,0.8,"[""page-1 zone author_zone: Thomas Caffard Dr med\u00b9, Desdemona Kralewski Dr med\u00b9, Marius ""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,text,Received: 21 July 2022 / Accepted: 15 November 2022 / Published online: 20 December 2022,"[98.0, 500.0, 710.0, 522.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: 21 July 2022 / Accepted: 15 November 2022 / Publis""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,7,text,Copyright © 2022 by the Association of Bone and Joint Surgeons,"[98.0, 522.0, 530.0, 542.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Copyright \u00a9 2022 by the Association of Bone and Joint Surgeo""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,8,paragraph_title,Abstract,"[99.0, 602.0, 183.0, 624.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,9,abstract,"Background Retearing of the supraspinatus (SSP) tendon after repair is relatively common, but its cause is rarely clear. Although the role of acromion morphology and glenoid orientation in the pathoge","[97.0, 626.0, 568.0, 793.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,10,abstract,Questions/purposes (1) Is acromial morphology associated with the risk of retear after SSP tendon repair? (2) Is there an association between inclination and version of the glenoid and the odds for re,"[99.0, 795.0, 569.0, 916.0]",body_paragraph,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,11,footnote,"Each author certifies that there are no funding or commercial associations (consultancies, stock ownership, equity interest, patent/licensing arrangements, etc.) that might pose a conflict of interest","[98.0, 996.0, 569.0, 1096.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Each author certifies that there are no funding or commercia""]",frontmatter_noise,0.8,body_zone,support_like,none,False,False
1,12,text,patients who had intact cuff repairs and those who had retears?,"[599.0, 626.0, 1070.0, 674.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,body_like,none,True,True
1,13,footnote,All ICMJE Conflict of Interest Forms for authors and Clinical Orthopaedics and Related Research $ ^{\circledR} $ editors and board members are on file with the publication and can be viewed on request,"[98.0, 1096.0, 570.0, 1298.0]",footnote,0.7,"[""footnote label: All ICMJE Conflict of Interest Forms for authors and Clinica""]",footnote,0.7,body_zone,support_like,none,True,True
