page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Liu et al. Journal of Nanobiotechnology (2026) 24:239 https://doi.org/10.1186/s12951-026-04131-9,"[108.0, 66.0, 492.0, 108.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header,Journal of Nanobiotechnology,"[758.0, 64.0, 1081.0, 96.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,text,RESEARCH,"[116.0, 183.0, 270.0, 211.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,text,Open Access,"[922.0, 183.0, 1075.0, 212.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Open Access""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,image,,"[1019.0, 226.0, 1076.0, 283.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,5,doc_title,Piezoelectric scaffold with enhanced effect drives the healing of osteochondral defects through electromechanical-immune coupling,"[108.0, 245.0, 982.0, 403.0]",paper_title,0.8,"[""page-1 zone title_zone: Piezoelectric scaffold with enhanced effect drives the heali""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,text,"Xin Liu $ ^{1,2*} $ $ ^{\dagger} $, Congyang Xue $ ^{1,2} $ $ ^{\dagger} $, Jun Guo $ ^{1,2} $ $ ^{\dagger} $, Nan Chen $ ^{1,2} $, Bo Chen $ ^{3} $, Zihan Wang $ ^{4} $, Xuan Han $ ^{5} $, Liping Che","[106.0, 435.0, 999.0, 496.0]",authors,0.8,"[""page-1 zone author_zone: Xin Liu $ ^{1,2*} $ $ ^{\\dagger} $, Congyang Xue $ ^{1,2} $ ""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,7,paragraph_title,Abstract,"[121.0, 546.0, 210.0, 569.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,8,abstract,Silk fibroin scaffolds (SFCs) that exploit piezoelectricity for osteochondral repair have been hampered by both insufficient electromechanical output and a pro-inflammatory joint microenvironment that,"[118.0, 569.0, 1067.0, 1030.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,9,text," $ ^{\dagger} $Xin Liu, Congyang Xue and Jun Guo contributed equally to this work.","[109.0, 1107.0, 499.0, 1145.0]",frontmatter_support,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,affiliation_marker,True,True
