page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,RESEARCH ARTICLE,"[98.0, 53.0, 358.0, 82.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,header_image,,"[1036.0, 1.0, 1191.0, 28.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,2,header,"ADVANCED MATERIALS
www.advmat.de","[934.0, 44.0, 1098.0, 117.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,3,doc_title,"Capacitive-Coupling-Responsive Hydrogel Scaffolds
Offering Wireless In Situ Electrical Stimulation Promotes
Nerve Regeneration","[95.0, 147.0, 1039.0, 282.0]",paper_title,0.8,"[""page-1 zone title_zone: Capacitive-Coupling-Responsive Hydrogel Scaffolds\nOffering W""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,"Ping Wu, Chao Xu, Xianghui Zou, Kun Yang, Yanping Xu, Xueyao Li, Xiaokun Li,*
Zhouguang Wang,* and Zhiqiang Luo*","[96.0, 314.0, 1005.0, 386.0]",authors,0.8,"[""page-1 zone author_zone: Ping Wu, Chao Xu, Xianghui Zou, Kun Yang, Yanping Xu, Xueyao""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,abstract,"Electrical stimulation (ES) has shown beneficial effects in repairing injured tissues. However, current ES techniques that use tissue-traversing leads and bulky external power suppliers have significa","[97.0, 446.0, 739.0, 946.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,6,paragraph_title,1. Introduction,"[766.0, 435.0, 914.0, 461.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
1,7,text,"Electrical stimulation (ES) has shown significant benefits in the repair and regeneration of damaged tissues including nerves, muscles, skin, bones, tendons, and ligaments. $ ^{[1]} $ In particular, i","[763.0, 472.0, 1099.0, 1065.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,8,text,"feasible. $ ^{[6]} $ Therefore, there is an urgent need to explore wireless ES without external bulky power sources and percutaneous leads for tissue-engineering applications.","[606.0, 1066.0, 1098.0, 1132.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,9,footnote,"P. Wu, C. Xu, X. Zou, K. Yang, Y. Xu, X. Li, Z. Luo
National Engineering Research Center for Nanomedicine
College of Life Science and Technology
Huazhong University of Science and Technology
Wuhan 430","[96.0, 1071.0, 572.0, 1356.0]",footnote,0.7,"[""footnote label: P. Wu, C. Xu, X. Zou, K. Yang, Y. Xu, X. Li, Z. Luo\nNational""]",footnote,0.7,body_zone,body_like,none,True,True
1,10,text,"To avoid invasive percutaneous leads during in vivo ES, implantable mini-sized devices that can generate electrical currents to assist in tissue regeneration have been explored. For example, Yin et al","[606.0, 1132.0, 1099.0, 1441.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,11,footnote,The ORCID identification number(s) for the author(s) of this article can be found under https://doi.org/10.1002/adma.202310483,"[98.0, 1375.0, 587.0, 1415.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: The ORCID identification number(s) for the author(s) of this""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,12,footer,DOI: 10.1002/adma.202310483,"[97.0, 1420.0, 339.0, 1443.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,13,footer,"Adv. Mater. 2024, 36, 2310483","[98.0, 1487.0, 277.0, 1505.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,14,number,2310483 (1 of 10),"[530.0, 1484.0, 665.0, 1507.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,reference_like,reference_numeric_dot,False,False
1,15,footer,© 2024 Wiley-VCH GmbH,"[937.0, 1487.0, 1096.0, 1506.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
2,0,header,"ADVANCED
SCIENCE NEWS
www.advancedsciencenews.com","[92.0, 46.0, 338.0, 116.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,none,False,False
2,1,header_image,,"[928.0, 44.0, 1092.0, 116.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,body_zone,body_like,empty,False,True
2,2,image,,"[116.0, 167.0, 1072.0, 773.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
2,3,figure_title,"Figure 1. Schematics of wireless electrical stimulation based on conductive and biodegradable hydrogels for spinal cord repair. Owing to the capacitive coupling configuration, the electrostatic induct","[89.0, 785.0, 1095.0, 938.0]",figure_caption,0.92,"[""figure_title label: Figure 1. Schematics of wireless electrical stimulation base""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
