page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
2,0,header,Journal Pre-proof,"[502.0, 1.0, 832.0, 40.0]",frontmatter_noise,0.98,"[""journal pre-proof running header suppressed: p2 y=1/1584""]",frontmatter_noise,0.98,preproof_cover_zone,unknown_like,preproof_marker,False,False
2,1,text,TITLE,"[76.0, 101.0, 146.0, 128.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_side_zone,support_like,short_fragment,False,True
2,2,doc_title,"Magnetoresponsive Stem Cell Spheroid-based Cartilage Recovery
Platform Utilizing Electromagnetic Fields","[74.0, 155.0, 1028.0, 268.0]",unknown_structural,0.2,"[""unrecognized label 'doc_title'""]",unknown_structural,0.2,body_zone,body_like,none,False,True
2,3,text,"Ami Yoo<sup>a</sup>, †, Gwangjun Go<sup>a</sup>, <sup>b</sup>, †, Kim Tien Nguyen<sup>a</sup>, <sup>b</sup>, Kyungmin Lee<sup>a</sup>, <sup>b</sup>, Hyun-Ki Min<sup>a</sup>, Byungjeon Kang<sup>a</sup>","[74.0, 355.0, 1026.0, 445.0]",frontmatter_support,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,4,text,"a. Korea Institute of Medical Microrobotics, 43-26 Cheomdangwagi-ro, Buk-gu, Gwangju, 61011, Korea","[82.0, 535.0, 1028.0, 621.0]",frontmatter_support,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,5,text,"b. School of Mechanical Engineering, Chonnam National University, 77 Yongbong-ro, Buk-gu, Gwangju, 61186, Korea","[81.0, 645.0, 1028.0, 732.0]",frontmatter_support,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,6,text,These authors contributed equally to this work.,"[75.0, 811.0, 548.0, 843.0]",frontmatter_noise,0.6,"[""default body_paragraph for text label"", ""frontmatter_side_zone excluded from body flow""]",frontmatter_noise,0.6,frontmatter_side_zone,support_like,none,False,False
2,7,text,"*Corresponding author: judyvet@jnu.ac.kr (J.H.), jop@jnu.ac.kr (J.-O.P.), and eunpyochoi@jnu.ac.kr (E.C.)","[74.0, 864.0, 1032.0, 953.0]",frontmatter_noise,0.6,"[""default body_paragraph for text label"", ""frontmatter_side_zone excluded from body flow""]",frontmatter_noise,0.6,frontmatter_side_zone,support_like,none,False,False
2,8,paragraph_title,Highlights,"[75.0, 1115.0, 188.0, 1143.0]",structured_insert,0.7,"[""structured insert label: highlights""]",structured_insert_candidate,0.7,body_zone,heading_like,short_fragment,False,False
2,9,text,- We propose the use of a magnetoresponsive stem cell spheroid (MR-SCS)-based cartilage recovery platform that allows for precise targeting using an electromagnetic actuation system to provide magneti,"[109.0, 1144.0, 1014.0, 1253.0]",structured_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
2,10,text,- Locomotion of MR-SCS that was mediated by the electromagnetic actuationsystem was successfully demonstrated in 3D phantom and ex vivomodels.,"[111.0, 1278.0, 966.0, 1332.0]",structured_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
2,11,text,"- Low-frequency electromagnetic field stimulation of MR-SCS resulted in increased expression levels of cartilage specific markers, collagen type II, SOX9, and Aggrecan.","[110.0, 1359.0, 1016.0, 1414.0]",structured_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
3,0,header,Journal Pre-proof,"[503.0, 1.0, 831.0, 40.0]",frontmatter_noise,0.98,"[""journal pre-proof running header suppressed: p3 y=1/1584""]",frontmatter_noise,0.98,preproof_cover_zone,unknown_like,preproof_marker,False,False
3,1,abstract,• Histological evaluation revealed an apparent improvement in the regeneration of cartilage tissue in an ex vivomodel of the porcine femur in response to Low-frequency electromagnetic field stimulatio,"[112.0, 101.0, 1015.0, 184.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
3,2,paragraph_title,Abstract,"[74.0, 262.0, 191.0, 297.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,body_zone,heading_like,short_fragment,True,True
3,3,abstract,"Mesenchymal stem cells (MSCs) provide a promising source for cartilage tissue regeneration strategies. The use of MSCs for such strategies, however, remains challenging due to the low targeting and lo","[71.0, 319.0, 1033.0, 1245.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
3,4,text,"Keywords: stem cell, cell spheroid, electromagnetic actuation, electromagnetic field stimulation","[75.0, 1321.0, 1011.0, 1352.0]",structured_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
3,5,paragraph_title,1. Introduction,"[77.0, 1434.0, 264.0, 1465.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
4,0,paragraph_title,Journal Pre-proof,"[503.0, 1.0, 832.0, 41.0]",frontmatter_noise,0.98,"[""journal pre-proof running header suppressed: p4 y=1/1584""]",frontmatter_noise,0.98,preproof_cover_zone,unknown_like,preproof_marker,False,False
4,1,text,"As the world population increases in age and in life expectancy, joint related disorders such as osteoarthritis (OA) are emerging as a major issue in regard to global health. Approximately 10 % of the","[74.0, 99.0, 1033.0, 1351.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,2,text,"MSCs provide a promising cell source for cartilage repair due to their self-renewal ability, high proliferation capability, multilineage differentiation, and self-regeneration capability for damaged","[74.0, 1369.0, 1032.0, 1457.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,0,header,Journal Pre-proof,"[504.0, 1.0, 831.0, 41.0]",frontmatter_noise,0.98,"[""journal pre-proof running header suppressed: p5 y=1/1584""]",frontmatter_noise,0.98,preproof_cover_zone,unknown_like,preproof_marker,False,False
5,1,text,"tissues and organs [9]. A number of studies have investigated the applicability of MSCs in regenerative medicine for the repair of minor and major cartilage defects, and these studies have reported th","[74.0, 101.0, 1033.0, 524.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,2,text,"In an effort to enhance the targeting efficiency of stem cells, several studies have suggested the use of magnetic nanoparticles (MNPs) loaded into individual stem cells that can be manipulated by ext","[74.0, 543.0, 1032.0, 1186.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,3,text,"Given this, the proof of concept of a three-dimensional (3D) scaffold-based stem cell delivery system that is magnetically controlled by an EMA system for cartilage regeneration has been suggested [12","[75.0, 1205.0, 1032.0, 1456.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
6,0,header,Journal Pre-proof,"[504.0, 1.0, 832.0, 40.0]",frontmatter_noise,0.98,"[""journal pre-proof running header suppressed: p6 y=1/1584""]",frontmatter_noise,0.98,preproof_cover_zone,unknown_like,preproof_marker,False,False
6,1,text,"still some unsolved issues associated with long-term safety and efficacy related to these materials. Scaffolds created using synthetic polymers may exhibit degradation problems, and scaffolds made wit","[75.0, 100.0, 1032.0, 687.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
