page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,nature reviews rheumatology,"[75.0, 79.0, 425.0, 113.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header,https://doi.org/10.1038/s41584-025-01236-7,"[782.0, 80.0, 1125.0, 105.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,header,Check for updates,"[957.0, 184.0, 1126.0, 211.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,text,Review article,"[75.0, 185.0, 216.0, 212.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,True
1,4,doc_title,"Restoring articular cartilage: insights from structure, composition and development","[74.0, 236.0, 962.0, 451.0]",paper_title,0.8,"[""page-1 zone title_zone: Restoring articular cartilage: insights from structure, comp""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Alba Pueyo Moliner ☎ 1,2, Keita Ito 2,3, Frank Zaucke ☎ 4, Daniel J. Kelly 5, Mylène de Ruijter 1,2,6 & Jos Malda ☎ 1,2,6","[73.0, 507.0, 1011.0, 535.0]",authors,0.8,"[""page-1 zone author_zone: Alba Pueyo Moliner \u260e 1,2, Keita Ito 2,3, Frank Zaucke \u260e 4, D""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,paragraph_title,Abstract,"[75.0, 545.0, 167.0, 569.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,7,abstract,Articular cartilage can withstand substantial compressive and shear forces within the joint and also reduces friction during motion. The exceptional mechanical properties of articular cartilage stem f,"[73.0, 610.0, 860.0, 1349.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,8,table,<table><tr><td>Sections</td></tr><tr><td>Introduction</td></tr><tr><td>The anisotropic nature of articular cartilage</td></tr><tr><td>Collagen type II fibres in the articular cartilage matrix</td></tr,"[870.0, 548.0, 1122.0, 1095.0]",media_asset,0.85,"[""media label: table""]",media_asset,0.85,frontmatter_main_zone,support_like,none,True,True
1,9,footer,A full list of affiliations appears at the end of the paper. ☒e-mail: J.Malda@umcutrecht.nl,"[75.0, 1471.0, 690.0, 1494.0]",noise,0.9,"[""footer label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,10,footer,Nature Reviews Rheumatology,"[75.0, 1523.0, 311.0, 1545.0]",noise,0.9,"[""footer label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
2,0,header,Review article,"[77.0, 80.0, 307.0, 117.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,short_fragment,False,False
