page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,REVIEW,"[98.0, 53.0, 210.0, 81.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,header_image,,"[1037.0, 1.0, 1190.0, 27.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,2,header,ADVANCED HEALTHCARE MATERIALS,"[973.0, 41.0, 1096.0, 97.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,3,header,www.advhealthmat.de,"[925.0, 97.0, 1097.0, 117.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,doc_title,Extracellular Matrix-Surrogate Advanced Functional Composite Biomaterials for Tissue Repair and Regeneration,"[97.0, 148.0, 1088.0, 238.0]",paper_title,0.6,"[""page-1 frontmatter title guard: Extracellular Matrix-Surrogate Advanced Functional Composite""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Milad Vahidi, Amin S. Rizkalla, and Kibret Mequanint $ ^{*} $","[96.0, 269.0, 715.0, 301.0]",unknown_structural,0.8,"[""page-1 zone author_zone: Milad Vahidi, Amin S. Rizkalla, and Kibret Mequanint $ ^{*} ""]",authors,0.8,frontmatter_main_zone,support_like,none,False,True
1,6,abstract,"Native tissues, comprising multiple cell types and extracellular matrix components, are inherently composites. Mimicking the intricate structure, functionality, and dynamic properties of native compos","[97.0, 363.0, 735.0, 940.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,7,footnote,"M. Vahidi, A. S. Rizkalla, K. Mequanint
Department of Chemical and Biochemical Engineering
The University of Western Ontario
London N6A5B9, Canada
E-mail: kmequani@uwo.ca
A. S. Rizkalla, K. Mequanint
","[96.0, 1061.0, 467.0, 1230.0]",footnote,0.7,"[""footnote label: M. Vahidi, A. S. Rizkalla, K. Mequanint\nDepartment of Chemic""]",footnote,0.7,body_zone,body_like,none,True,True
1,8,paragraph_title,1. Introduction,"[766.0, 351.0, 914.0, 375.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
1,9,text,"Biomaterials, encompassing a wide range of metals, ceramics, polymers, and their hybrids, are engineered to interact with biological systems for medical purposes. Whether intended for temporary or per","[764.0, 389.0, 1100.0, 1026.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
