page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[120.0, 79.0, 538.0, 154.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,1,header,"Journal of Nanoscience and Nanotechnology Vol. 11, 3039–3057, 2011","[886.0, 93.0, 1108.0, 151.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,doc_title,Electrospun Composite Nanofibers for Tissue Regeneration,"[279.0, 246.0, 942.0, 333.0]",paper_title,0.8,"[""page-1 zone title_zone: Electrospun Composite Nanofibers for Tissue Regeneration""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text,"Molamma P. Prabhakaran¹,*, Laleh Ghasemi-Mobarakeh¹,², and Seeram Ramakrishna¹","[197.0, 359.0, 1022.0, 389.0]",unknown_structural,0.8,"[""page-1 zone author_zone: Molamma P. Prabhakaran\u00b9,*, Laleh Ghasemi-Mobarakeh\u00b9,\u00b2, and S""]",authors,0.8,body_zone,reference_like,citation_line,False,True
1,4,text," $ ^{1} $ Nanoscience and Nanotechnology Initiative, Health Care and Energy Materials Laboratory, Faculty of Engineering, 2 Engineering Drive 3, National University of Singapore, Singapore 117576
 $ ^","[258.0, 399.0, 964.0, 469.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $ Nanoscience and Nanotechnology Initiative, Health C""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,5,abstract,Nanotechnology assists in the development of biocomposite nanofibrous scaffolds that can react positively to changes in the immediate cellular environment and stimulate specific regenerative events at,"[211.0, 493.0, 1009.0, 957.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,6,text,"Keywords: Electrospinning, Aligned Nanofibers, Core–Shell Nanofibers, Cardiac Patch, Polycaprolactone/Collagen, Electrically Conductive, Mesenchymal Stem Cells, Differentiation.","[213.0, 965.0, 1009.0, 1033.0]",frontmatter_noise,0.7,"[""keyword-like block: Keywords: Electrospinning, Aligned Nanofibers, Core\u2013Shell Na""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,7,paragraph_title,CONTENTS,"[118.0, 1080.0, 244.0, 1105.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: CONTENTS""]",section_heading,0.5,body_zone,heading_like,short_fragment,True,True
1,8,content,"1. Introduction ..... 3039
1.1. Electrospinning of Nanofibers ..... 3040
1.2. Regenerative Medicine and Tissue Engineering ..... 3041
2. Electrospun 'Biomimetic' Nanofibers for Tissue Engineering ....","[116.0, 1119.0, 598.0, 1400.0]",body_paragraph,0.6,"[""reference-like pattern: 1. Introduction ..... 3039\n1.1. Electrospinning of Nanofiber""]",reference_item,0.6,body_zone,body_like,heading_numbered,True,True
1,9,content,"5. Tissue Engineered Electrospun Nanofibrous Construct ..... 3049
5.1. Cardiac Patch ..... 3049
5.2. Nerve Graft ..... 3049
5.3. Bone Graft ..... 3051
5.4. Skin Graft ..... 3051
5.5. Vascular Graft ..","[624.0, 1085.0, 1104.0, 1305.0]",body_paragraph,0.6,"[""reference-like pattern: 5. Tissue Engineered Electrospun Nanofibrous Construct .....""]",reference_item,0.6,body_zone,body_like,heading_numbered,True,True
1,10,paragraph_title,1. INTRODUCTION,"[626.0, 1338.0, 829.0, 1363.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. INTRODUCTION""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
1,11,text,Organs of the human body are nanostructures and cells in the body are accustomed to interact with materials that have nano-structured features. The extracellular matrix,"[623.0, 1382.0, 1106.0, 1453.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,12,footnote, $ ^{*} $Author to whom correspondence should be addressed.,"[126.0, 1432.0, 493.0, 1453.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: $ ^{*} $Author to whom correspondence should be addressed.""]",frontmatter_noise,0.8,body_zone,body_like,affiliation_marker,False,False
