page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[79.0, 115.0, 198.0, 250.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,1,header,Heliyon 10 (2024) e38112,"[454.0, 64.0, 631.0, 85.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,header,Contents lists available at ScienceDirect,"[404.0, 117.0, 693.0, 139.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,3,header,Heliyon,"[497.0, 168.0, 599.0, 200.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,header,journal homepage: www.cell.com/heliyon,"[387.0, 229.0, 709.0, 251.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,5,header_image,,"[896.0, 108.0, 1012.0, 248.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,6,text,Review article,"[75.0, 287.0, 202.0, 309.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,7,doc_title,Electrical stimulation for cartilage tissue engineering - A critical review from an engineer’s perspective,"[73.0, 324.0, 844.0, 389.0]",paper_title,0.6,"[""page-1 frontmatter title guard: Electrical stimulation for cartilage tissue engineering - A ""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,8,text,"Julius Zimmermann $ ^{a} $, Abdul Razzaq Farooqi $ ^{a,b,*} $, Ursula van Rienen $ ^{a,c,d} $","[73.0, 401.0, 752.0, 428.0]",authors,0.8,"[""page-1 zone author_zone: Julius Zimmermann $ ^{a} $, Abdul Razzaq Farooqi $ ^{a,b,*} ""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,9,text," $ ^{a} $ Institute of General Electrical Engineering, University of Rostock, 18051 Rostock, Germany","[73.0, 434.0, 577.0, 451.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{a} $ Institute of General Electrical Engineering, Univer""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,10,text," $ ^{b} $ Department of Electronic Engineering, Faculty of Engineering, The Islamia University of Bahawalpur, 63100 Bahawalpur, Pakistan","[73.0, 451.0, 788.0, 469.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{b} $ Department of Electronic Engineering, Faculty of En""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,11,text," $ ^{2} $ Department of Ageing of Individuals and Society, Interdisciplinary Faculty, University of Rostock, 18051 Rostock, Germany","[73.0, 469.0, 751.0, 485.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{2} $ Department of Ageing of Individuals and Society, In""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,12,text," $ ^{d} $ Department Life, Light & Matter, University of Rostock, 18051 Rostock, Germany","[74.0, 486.0, 528.0, 503.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{d} $ Department Life, Light & Matter, University of Rost""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,13,paragraph_title,ARTICLE INFO,"[74.0, 547.0, 292.0, 569.0]",unknown_structural,0.6,"[""author byline on page 1, assigned as authors: ARTICLE INFO""]",authors,0.6,frontmatter_main_zone,heading_like,short_fragment,False,True
