page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,doc_title,"Physical Therapy
Journal of the American Physical Therapy Association","[67.0, 160.0, 1116.0, 333.0]",paper_title,0.8,"[""page-1 zone title_zone: Physical Therapy\nJournal of the American Physical Therapy As""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,1,image,,"[166.0, 371.0, 339.0, 546.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,2,text,Effects of Low-Intensity Electromagnetic Fields on the Proliferation and Differentiation of Cultured Mouse Bone Marrow Stromal Cells,"[451.0, 358.0, 989.0, 425.0]",authors,0.8,"[""page-1 zone author_zone: Effects of Low-Intensity Electromagnetic Fields on the Proli""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text,"Cheng Zhong, Xin Zhang, Zhengjian Xu and Rongxin He
PHYS THER. 2012; 92:1208-1219.
Originally published online May 10, 2012
doi: 10.2522/ptj.20110224","[450.0, 425.0, 1012.0, 520.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Cheng Zhong, Xin Zhang, Zhengjian Xu and Rongxin He\nPHYS THE""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,4,text,"The online version of this article, along with updated information and services, can be found online at: http://ptjournal.apta.org/content/92/9/1208","[163.0, 618.0, 1001.0, 668.0]",frontmatter_noise,0.7,"[""keyword-like block: The online version of this article, along with updated infor""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,5,table,"<table><tr><td>Online-Only Material</td><td>http://ptjournal.apta.org/content/suppl/2012/08/23/ptj.20110224.DC1.html</td></tr><tr><td>Collections</td><td>This article, along with others on similar top","[162.0, 695.0, 1017.0, 970.0]",media_asset,0.85,"[""media label: table""]",media_asset,0.85,frontmatter_main_zone,support_like,none,True,True
1,6,footer,"Downloaded from http://ptjournal.apta.org/ by guest on April 25, 2015","[347.0, 1514.0, 842.0, 1536.0]",noise,0.9,"[""footer label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
2,0,header,Research Report,"[120.0, 72.0, 492.0, 130.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,1,text,"C. Zhong, MS, Department of Orthopedic Surgery, Second Affiliated Hospital, School of Medicine, Zhejiang University, Hangzhou, China.","[95.0, 496.0, 346.0, 601.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: C. Zhong, MS, Department of Orthopedic Surgery, Second Affil""]",affiliation,0.8,body_zone,body_like,none,True,True
2,2,text,"Z. Xu, MS, Department of Orthopedic Surgery, Second Affiliated Hospital, School of Medicine, Zhejiang University.","[97.0, 700.0, 345.0, 786.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Z. Xu, MS, Department of Orthopedic Surgery, Second Affiliat""]",affiliation,0.8,body_zone,body_like,none,True,True
2,3,doc_title,Effects of Low-Intensity Electromagnetic Fields on the Proliferation and Differentiation of Cultured Mouse Bone Marrow Stromal Cells,"[359.0, 210.0, 1021.0, 445.0]",unknown_structural,0.8,"[""page-1 zone title_zone: Effects of Low-Intensity Electromagnetic Fields on the Proli""]",paper_title,0.8,body_zone,body_like,none,False,True
2,4,text,"R. He, PhD, Department of Orthopedic Surgery, Second Affiliated Hospital, School of Medicine, Zhejiang University, No. 88, Jiefang Road, Hangzhou, China. Address all correspondence to Dr He at: herong","[97.0, 793.0, 346.0, 937.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: R. He, PhD, Department of Orthopedic Surgery, Second Affilia""]",frontmatter_noise,0.8,frontmatter_side_zone,support_like,none,False,False
2,5,text,"X. Zhang, MS, Department of Orthopedic Surgery, Second Affiliated Hospital, School of Medicine, Zhejiang University.","[96.0, 608.0, 345.0, 693.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: X. Zhang, MS, Department of Orthopedic Surgery, Second Affil""]",affiliation,0.8,body_zone,body_like,none,True,True
2,6,text,"[Zhong C, Zhang X, Xu Z, He R. Effects of low-intensity electromagnetic fields on the proliferation and differentiation of cultured mouse bone marrow stromal cells. Phys Ther. 2012;92:1208–1219.]","[97.0, 944.0, 346.0, 1068.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,7,text,© 2012 American Physical Therapy Association,"[96.0, 1076.0, 345.0, 1120.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: \u00a9 2012 American Physical Therapy Association""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
2,8,text,"Published Ahead of Print:
May 10, 2012
Accepted: May 1, 2012
Submitted: July 14, 2011
Cheng Zhong, Xin Zhang, Zhengjian Xu, Rongxin He","[97.0, 1129.0, 276.0, 1214.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Published Ahead of Print:\nMay 10, 2012\nAccepted: May 1, 2012""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
2,9,text,"Cheng Zhong, Xin Zhang, Zhengjian Xu, Rongxin He","[360.0, 458.0, 839.0, 489.0]",unknown_structural,0.8,"[""page-1 zone author_zone: Cheng Zhong, Xin Zhang, Zhengjian Xu, Rongxin He""]",authors,0.8,body_zone,body_like,none,False,True
2,10,text,Background. Electromagnetic fields (EMFs) used in stem-cell tissue engineering can help elucidate their biological principles.,"[358.0, 522.0, 1090.0, 577.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,11,text,"Objective. The aim of this study was to investigate the effects of low-intensity EMFs on cell proliferation, differentiation, and cycle in mouse bone marrow stromal cells (BMSCs) and the in vivo effec","[357.0, 593.0, 1092.0, 671.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,12,text,"Methods. Harvested BMSCs were cultured for 3 generations and divided into 4 groups. The methylthiotetrazole (MTT) assay was used to evaluate cell proliferation, and alkaline phosphatase activity was m","[357.0, 690.0, 1092.0, 959.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
