page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,"Clin Orthop Relat Res (2015) 473:674–682
DOI 10.1007/s11999-014-3963-5","[97.0, 64.0, 407.0, 109.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header,"Clinical Orthopaedics and Related Research $ ^{®} $
A Publication of The Association of Bone and Joint Surgeons $ ^{®} $","[869.0, 38.0, 1093.0, 109.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,text,CLINICAL RESEARCH,"[110.0, 128.0, 342.0, 153.0]",unknown_structural,0.6,"[""page-1 initial-lastname author byline: CLINICAL RESEARCH""]",authors,0.6,frontmatter_main_zone,support_like,short_fragment,False,True
1,3,doc_title,Rotator Cuff Fatty Infiltration and Atrophy Are Associated With Functional Outcomes in Anatomic Shoulder Arthroplasty,"[96.0, 212.0, 982.0, 284.0]",paper_title,0.6,"[""page-1 frontmatter title guard: Rotator Cuff Fatty Infiltration and Atrophy Are Associated W""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,4,text,"Peter L. C. Lapner MD, Liangfu Jiang MD, Tinghua Zhang MSc, George S. Athwal MD","[96.0, 315.0, 492.0, 367.0]",unknown_structural,0.8,"[""page-1 zone author_zone: Peter L. C. Lapner MD, Liangfu Jiang MD, Tinghua Zhang MSc, ""]",authors,0.8,body_zone,reference_like,citation_line,False,True
1,5,text,Received: 23 April 2014 / Accepted: 16 September 2014 / Published online: 30 September 2014,"[96.0, 485.0, 768.0, 508.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: 23 April 2014 / Accepted: 16 September 2014 / Publ""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,6,text,© The Association of Bone and Joint Surgeons $ ^{\textregistered} $ 2014,"[96.0, 506.0, 495.0, 528.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: \u00a9 The Association of Bone and Joint Surgeons $ ^{\\textregist""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,7,paragraph_title,Abstract,"[97.0, 563.0, 182.0, 585.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,8,abstract,"Background Shoulder arthroplasty provides reliable pain relief and restoration of function. However, the effects of fatty infiltration and atrophy in the supraspinatus and infraspinatus muscles on fun","[96.0, 587.0, 583.0, 709.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,9,abstract,Questions/purposes The purposes of this study were to (1) compare preoperative with postoperative fatty infiltration and atrophy of the supraspinatus and infraspinatus muscles after primary shoulder a,"[95.0, 712.0, 584.0, 837.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,10,footnote,"One of the authors (GSA) received research funding support from Tornier Orthopedics Inc, Mississauga, Ontario, Canada. All ICMJE Conflict of Interest Forms for authors and Clinical Orthopaedics and Re","[96.0, 870.0, 585.0, 1213.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: One of the authors (GSA) received research funding support f""]",affiliation,0.8,body_zone,support_like,none,True,True
1,11,paragraph_title,P. L. C. Lapner (☒),"[98.0, 1230.0, 250.0, 1252.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: P. L. C. Lapner (\u2612)""]",section_heading,0.5,body_zone,body_like,short_fragment,True,True
1,12,text,"P. L. C. Lapner (☒)
Division of Orthopedics, Ottawa Hospital Research Institute,
University of Ottawa, 501 Smyth Road, W1648, Box 502,
Ottawa, ON K1H 8L6, Canada
e-mail: plapner@toh.on.ca","[96.0, 1240.0, 529.0, 1333.0]",frontmatter_noise,0.7,"[""keyword-like block: P. L. C. Lapner (\u2612)\nDivision of Orthopedics, Ottawa Hospital""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,13,paragraph_title,L. Jiang,"[98.0, 1351.0, 163.0, 1372.0]",section_heading,0.9,"[""explicit scholarly heading: L. Jiang""]",section_heading,0.9,body_zone,body_like,heading_roman,True,True
1,14,text,"Department of Orthopedic Surgery, Wenzhou Medical University, Wenzhou, Zhejiang Province, People's Republic of China
Methods A retrospective analysis was undertaken of 62 patients with a mean age of 6","[97.0, 1361.0, 485.0, 1435.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,15,text,,"[604.0, 563.0, 1094.0, 810.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,empty,False,True
1,16,text,"Results Preoperatively, the mean percent fatty infiltration (FI) within the supraspinatus and infraspinatus was identical at 14%. One year after shoulder arthroplasty, both muscles had less fatty infi","[605.0, 814.0, 1094.0, 1190.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,17,paragraph_title,T. Zhang,"[607.0, 1233.0, 681.0, 1254.0]",subsection_heading,0.9,"[""explicit scholarly heading: T. Zhang""]",subsection_heading,0.9,body_zone,body_like,heading_alpha,True,True
1,18,text,"Clinical Epidemiology Program, Ottawa Hospital Research Institute, The Ottawa Hospital, Ottawa, ON, Canada","[606.0, 1252.0, 1027.0, 1296.0]",frontmatter_noise,0.7,"[""keyword-like block: Clinical Epidemiology Program, Ottawa Hospital Research Inst""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,19,paragraph_title,G. S. Athwal,"[607.0, 1313.0, 708.0, 1333.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: G. S. Athwal""]",section_heading,0.5,body_zone,body_like,short_fragment,True,True
