page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,"Japanese Journal of
Applied Physics","[73.0, 73.0, 298.0, 131.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header_image,,"[995.0, 83.0, 1106.0, 112.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,2,doc_title,Callus Formation by Electret,"[74.0, 269.0, 484.0, 305.0]",paper_title,0.6,"[""page-1 frontmatter title guard: Callus Formation by Electret""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,3,text,To cite this article: Eiichi Fukada et al 1975 Jpn. J. Appl. Phys. 14 2079,"[73.0, 332.0, 586.0, 357.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: To cite this article: Eiichi Fukada et al 1975 Jpn. J. Appl.""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,4,text,View the  $ \underline{\text{article online}} $ for updates and enhancements.,"[73.0, 423.0, 465.0, 449.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,5,paragraph_title,You may also like,"[803.0, 225.0, 998.0, 252.0]",paper_title,0.7,"[""unnumbered paragraph_title in title zone on page 1: You may also like""]",paper_title,0.7,frontmatter_main_zone,heading_like,short_fragment,True,True
1,6,text,"- The Effect of Explant Types and Plant Growth Regulators On Callus Induction of Geranium (Pelargonium graveolens L'Her)
In Vitro
Moch Faizul Huda, S Indriyani and W Widoretno","[834.0, 266.0, 1111.0, 365.0]",authors,0.8,"[""page-1 zone author_zone: - The Effect of Explant Types and Plant Growth Regulators On""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,7,text,"- Pineapple callus induction from Sipahutar North Sumatera Indonesia (Ananas comosus L.) with bud as a source explant F Harahap, E Djulia, D Purnama et al.","[833.0, 377.0, 1108.0, 446.0]",authors,0.8,"[""page-1 zone author_zone: - Pineapple callus induction from Sipahutar North Sumatera I""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,8,text,"- Callus induction of Calotropis gigantea using BAP and 2,4-D in vitro
A Muthi'ah, A T Sakya, A Setyawati et al.","[833.0, 456.0, 1103.0, 509.0]",authors,0.8,"[""page-1 zone author_zone: - Callus induction of Calotropis gigantea using BAP and 2,4-""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,9,footer,This content was downloaded from IP address 111.14.87.56 on 14/05/2026 at 11:14,"[294.0, 1581.0, 896.0, 1602.0]",noise,0.9,"[""footer label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
2,0,header,Short Notes,"[472.0, 75.0, 566.0, 94.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
2,1,number,2079,"[891.0, 77.0, 930.0, 95.0]",noise,0.9,"[""page number label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
2,2,text,"JAPAN. J. APPL. PHYS. Vol. 14 (1975), No. 12","[139.0, 113.0, 471.0, 134.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,unknown_like,none,True,True
2,3,text,Callus Formation by Electret,"[178.0, 148.0, 432.0, 173.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,unknown_like,none,True,True
2,4,text,"Eiichi Fukada, Toshiaki Takamatsu and Iwao Yasuda†","[165.0, 180.0, 446.0, 221.0]",authors,0.8,"[""page-1 zone author_zone: Eiichi Fukada, Toshiaki Takamatsu and Iwao Yasuda\u2020""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
2,5,text,"The Institute of Physical and Chemical Research,
Wako, Saitama
†Kyoto Second Red Cross Hospital, Kyoto
(Received September 16, 1975)","[129.0, 223.0, 483.0, 313.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: The Institute of Physical and Chemical Research,\nWako, Saita""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
2,6,image,,"[568.0, 116.0, 910.0, 230.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,display_zone,unknown_like,empty,True,True
2,7,figure_title,Fig. 2. X-ray photograph taken 3 weeks after surgery during which an electret teflon film was placed on the surface of the bone. Callus has formed on the upper side of the bone where the electret is l,"[535.0, 242.0, 932.0, 325.0]",figure_caption,0.92,"[""figure_title label: Fig. 2. X-ray photograph taken 3 weeks after surgery during ""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
