page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
2,0,header,Journal Pre-proof,"[475.0, 52.0, 713.0, 82.0]",frontmatter_noise,0.98,"[""journal pre-proof running header suppressed: p2 y=52/1684"", ""page_1_preproof_cover_dropped_upstream""]",frontmatter_noise,0.98,preproof_cover_zone,unknown_like,preproof_marker,False,False
2,1,doc_title,Directionalities of magnetic fields and topographic scaffolds synergise to enhance MSC chondrogenesis,"[95.0, 100.0, 1046.0, 171.0]",paper_title,0.8,"[""page-1 zone title_zone: Directionalities of magnetic fields and topographic scaffold""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
2,2,text,"Cenk Celik $ ^{1} $, Alfredo Franco-Obregón $ ^{2,3,4,5*} $, Eng Hin Lee $ ^{1,6} $, James HP Hui $ ^{1,6} $, Zheng Yang $ ^{1,6*} $","[119.0, 234.0, 1022.0, 298.0]",authors,0.8,"[""page-1 zone author_zone: Cenk Celik $ ^{1} $, Alfredo Franco-Obreg\u00f3n $ ^{2,3,4,5*} $,""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
2,3,text,"Department of Orthopaedic Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore 119228","[83.0, 422.0, 986.0, 485.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Department of Orthopaedic Surgery, Yong Loo Lin School of Me""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
2,4,text,"2 Department of Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, 119228","[83.0, 491.0, 978.0, 554.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: 2 Department of Surgery, Yong Loo Lin School of Medicine, Na""]",affiliation,0.8,frontmatter_main_zone,reference_like,reference_numeric_dot,True,True
2,5,text,"Biolonic Currents Electromagnetic Pulsing Systems Laboratory, BICEPS, National University of Singapore, Singapore, 117599","[83.0, 559.0, 1005.0, 624.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Biolonic Currents Electromagnetic Pulsing Systems Laboratory""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
2,6,text,"4 Institute for Health Innovation & Technology, iHealthtech, National University of Singapore, Singapore, 117599","[83.0, 629.0, 966.0, 692.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: 4 Institute for Health Innovation & Technology, iHealthtech,""]",affiliation,0.8,frontmatter_main_zone,reference_like,reference_numeric_dot,True,True
2,7,text,"Department of Physiology, Yong Loo Lin School of Medicine, National University of Singapore, DSO (Kent Ridge) Building, #04-01, 27 Medical Drive, Singapore, 117593","[83.0, 697.0, 1047.0, 762.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Department of Physiology, Yong Loo Lin School of Medicine, N""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
2,8,text,"Tissue Engineering Program (NUSTEP), Life Sciences Institute, National University of Singapore, DSO (Kent Ridge) Building, #04-01, 27 Medical Drive, Singapore, 117510","[82.0, 767.0, 1026.0, 832.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Tissue Engineering Program (NUSTEP), Life Sciences Institute""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
2,9,text,"* Corresponding authors: Zheng Yang, dosyz@nus.edu.sg; Alfredo Franco-Obregón, suraf@nus.edu.sg","[84.0, 925.0, 1019.0, 956.0]",frontmatter_support,0.78,"[""first-surviving-page support text: * Corresponding authors: Zheng Yang, dosyz@nus.edu.sg; Alfre""]",frontmatter_support,0.78,frontmatter_main_zone,support_like,none,True,True
